機構名稱,縣市區名,地址,latitude,longitude
饒河牙醫診所,松山區,臺北市松山區塔悠路１３號,,
微醫未來美學診所,松山區,臺北市松山區南京東路5段166、168號,,
宸曜診所,松山區,臺北市松山區敦化北路155巷8號,,
佑達骨科診所,松山區,臺北市松山區南京東路4段95號,,
安禾聯合診所,松山區,臺北市松山區民權東路三段一七八號,,
皇脈中醫診所,松山區,臺北市松山區八德路四段245巷29號,,
安兒康小兒專科診所,松山區,臺北市松山區敦化北路116號,,
生春牙醫診所,松山區,臺北市松山區南京東路五段139號,,
固榮牙醫診所,松山區,臺北市松山區延吉街１６號,,
國晉中醫診所,松山區,臺北市松山區光復南路６巷４６號,,
群益牙醫診所,松山區,臺北市松山區光復北路１２３號,,
慶華牙醫診所,松山區,臺北市松山區延吉街１０巷８號,,
仲佑中醫診所,松山區,臺北市松山區八德路三段２12號,,
生昇復健專科診所,松山區,臺北市松山區三民路39號,,
林聰賢婦產科診所,松山區,臺北市松山區八德路四段３４５號,,
培靈醫院,松山區,臺北市松山區八德路四段355號,,
長泰牙醫診所,松山區,臺北市松山區長春路５００號,,
安德森整形外科診所,松山區,臺北市松山區復興北路337號,,
久恆牙醫診所,松山區,臺北市松山區民生東路5段93號,,
宏國牙醫診所,松山區,臺北市松山區民生東路五段１５號,,
林永濤整形外科診所,松山區,臺北市松山區光復北路７號,,
南京安澐診所,松山區,臺北市松山區健康路303號,,
魔法兔齒顎矯正牙醫診所,松山區,臺北市松山區東興路2巷5號,,
立健美診所,松山區,臺北市松山區民權東路3段130號,,
新富錦中醫診所,松山區,臺北市松山區民生東路5段203號,,
金欣牙醫診所,松山區,臺北市松山區八德路3段164號,,
品睿牙醫診所,松山區,臺北市松山區民生東路三段113巷25弄6號,,
華中牙醫診所,松山區,臺北市松山區南京東路四段１１７號,,
吉聖牙醫診所,松山區,臺北市松山區八德路四段７號,,
民生漢唐中醫診所,松山區,臺北市松山區民生東路5段138巷3號,,
馥之美診所,松山區,臺北市松山區慶城街24之1號,,
安成診所,松山區,臺北市松山區富錦街４９７號,,
芯橙診所,松山區,臺北市松山區復興北路33號,,
佳家美學診所,松山區,臺北市松山區復興北路145號,,
泰康牙醫診所,松山區,臺北市松山區南京東路五段６４號,,
采鴻牙醫診所,松山區,臺北市松山區復興北路145號,,
采德牙醫診所,松山區,臺北市松山區南京東路五段106號,,
景賀診所,松山區,臺北市松山區民生東路5段85號,,
蘋果樹醫美診所,松山區,臺北市松山區南京東路三段309號,,
何兆芬健康診所,松山區,臺北市松山區南京東路四段47號,,
崇皓牙醫診所,松山區,臺北市松山區光復北路202號,,
立悅皮膚科診所,松山區,臺北市松山區南京東路五段46號,,
森之谷美學牙醫診所,松山區,臺北市松山區南京東路五段40、42號,,
金贊診所,松山區,臺北市松山區南京東路四段66號,,
美仕媞時尚醫美診所,松山區,臺北市松山區民權東路三段178號,,
聯青診所,松山區,臺北市松山區南京東路4段16號,,
周適偉診所,松山區,臺北市松山區復興北路69號,,
双眼明眼科診所,松山區,臺北市松山區南京東路三段309號,,
博康中醫診所,松山區,臺北市松山區南京東路五段280號,,
鈞賀診所,松山區,臺北市松山區富錦街462號,,
弘光耳鼻喉科診所,松山區,臺北市松山區民生東路四段117號,,
W頂尖醫美診所,松山區,臺北市松山區南京東路三段270號,,
美學牙醫診所,松山區,臺北市松山區民生東路四段97巷1弄4號,,
双悅診所,松山區,臺北市松山區南京東路5段163之1號,,
康河牙醫診所,松山區,臺北市松山區南京東路四段77號,,
新尊榮牙醫診所,松山區,臺北市松山區八德路四段674號,,
慈和中醫診所,松山區,臺北市松山區八德路四段245巷32弄65號,,
欣悅超美診所,松山區,臺北市松山區復興北路73號,,
新心診所,松山區,臺北市松山區光復北路11巷63號,,
佳禾牙醫診所,松山區,臺北市松山區八德路四段6號,,
恩信牙醫診所,松山區,臺北市松山區南京東路五段200號,,
長庚醫療財團法人長庚診所,松山區,臺北市松山區民生東路三段130巷9號,,
松山大愛眼科診所,松山區,臺北市松山區南京東路五段269號,,
極光美學診所,松山區,臺北市松山區南京東路四段25號,,
東青中醫診所,松山區,臺北市松山區民生東路五段245號,,
臻品絕色診所,松山區,臺北市松山區興安街157號,,
駿昂耳鼻喉科診所,松山區,臺北市松山區八德路2段395號,,
悠適復健科診所,松山區,臺北市松山區光復北路11巷65號,,
康活診所,松山區,臺北市松山區復興北路333號,,
南京光澤診所,松山區,臺北市松山區南京東路五段154號,,
薏安牙醫診所,松山區,臺北市松山區南京東路四段197號,,
達特邱診所,松山區,臺北市松山區八德路二段350號,,
澄東耳鼻喉科診所,松山區,臺北市松山區三民路37號,,
佳誠美學牙醫診所,松山區,臺北市松山區南京東路五段232號,,
喜樂芽牙醫診所,松山區,臺北市松山區八德路四段245巷33號,,
青花瓷養生中醫診所,松山區,臺北市松山區南京東路5段169號,,
靜巷美學牙醫診所,松山區,臺北市松山區民權東路3段106巷36號,,
吉祥預防醫學診所,松山區,臺北市松山區南京東路三段303巷6弄9號,,
民昇中醫診所,松山區,臺北市松山區民生東路五段87號,,
欣悅中醫診所,松山區,臺北市松山區南京東路4段193號,,
泰安親親家庭診所,松山區,臺北市松山區光復北路97號,,
恩緹悠活時尚診所,松山區,臺北市松山區慶城街24號,,
本質牙醫診所,松山區,臺北市松山區南京東路5段167號,,
聖光眼科診所,松山區,臺北市松山區南京東路四段181、183號,,
樂康診所,松山區,臺北市松山區八德路三段 221之1號,,
原邑診所,松山區,臺北市松山區健康路325巷6弄21號,,
妍棠美學診所,松山區,臺北市松山區敦化北路145巷49號,,
康健診所,松山區,臺北市松山區延吉街9之4號,,
麗得醫美整形外科診所,松山區,臺北市松山區南京東路5段1號,,
伍德中醫診所,松山區,臺北市松山區健康路231號,,
聯欣診所,松山區,臺北市松山區南京東路4段16號,,
名悅時尚診所,松山區,臺北市松山區南京東路3段259號,,
依定美時尚診所,松山區,臺北市松山區八德路3段2號,,
傑尼斯時尚醫美整形外科診所,松山區,臺北市松山區南京東路五段230號,,
彥明中醫診所,松山區,臺北市松山區南京東路5段250巷2弄1之1號,,
頤鳴堂中醫診所,松山區,臺北市松山區長春路446號,,
杏莆堂中醫診所,松山區,臺北市松山區延壽街392號,,
鳳凰中醫診所,松山區,臺北市松山區南京東路三段303巷6弄9號,,
慶城牙醫診所,松山區,臺北市松山區長春路480號,,
親親家庭診所,松山區,臺北市松山區南京東路五段347號,,
黎博彥診所,松山區,臺北市松山區民生東路五段230號,,
正風復健科診所,松山區,臺北市松山區光復北路133及135號,,
大家好診所,松山區,臺北市松山區民生東路四段８０巷１１弄２號,,
湘豐診所,松山區,臺北市松山區敦化北路１４１號,,
松山信合美眼科診所,松山區,臺北市松山區三民路      9號,,
美麗優品時尚診所,松山區,臺北市松山區民生東路四段97巷2弄1號,,
邱楠超診所,松山區,臺北市松山區延吉街20號,,
祐腎內科診所,松山區,臺北市松山區南京東路四段50號,,
趙耳鼻喉科診所,松山區,臺北市松山區八德路四段６４９號,,
謝耳鼻喉科診所,松山區,臺北市松山區民生東路五段１４８號,,
康明哲小兒科內科診所,松山區,臺北市松山區三民路１３６巷１５號,,
王俊彰耳鼻喉科診所,松山區,臺北市松山區民生東路五段１７號,,
林志聖眼科診所,松山區,臺北市松山區三民路１４０號,,
張芳杰內兒科診所,松山區,臺北市松山區民生東路五段１３８巷７號,,
高國隆婦產科診所,松山區,臺北市松山區八德路四段257號,,
林忠志診所,松山區,臺北市松山區南京東路五段291巷20弄3之3號,,
陳炳堅內科診所,松山區,臺北市松山區延壽街３２７號,,
王世興醫師診所,松山區,臺北市松山區八德路四段10號,,
康瑞耳鼻喉科診所,松山區,臺北市松山區八德路三段154號,,
華南小兒科診所,松山區,臺北市松山區延吉街３０巷１５號,,
張國華整形外科診所,松山區,臺北市松山區南京東路五段34號,,
民生翁耳鼻喉科診所,松山區,臺北市松山區民生東路五段78號,,
臺北市立聯合醫院附設松山門診部,松山區,臺北市松山區八德路4段694號,,
宜陞中醫診所,松山區,臺北市松山區復興北路333號,,
長庚醫療財團法人台北長庚紀念醫院,松山區,臺北市松山區敦化北路199號,,
洪小兒科診所,松山區,臺北市松山區市民大道五段１６５號,,
方一強眼科診所,松山區,臺北市松山區民生東路四段１０１號,,
康和牙醫診所,松山區,臺北市松山區八德路3段241號,,
江崇萍小兒科診所,松山區,臺北市松山區南京東路五段２５１巷２４弄２７號,,
安德聯合診所,松山區,臺北市松山區八德路三段３４號,,
美佳皮膚科診所,松山區,臺北市松山區八德路三段１６４號,,
傅眼科診所,松山區,臺北市松山區八德路三段156號,,
王躬仁診所,松山區,臺北市松山區新中街１２之３號,,
李國師牙醫診所,松山區,臺北市松山區八德路三段８１號,,
小林牙醫診所,松山區,臺北市松山區南京東路五段２９１巷３２號,,
啟瑞牙醫診所,松山區,臺北市松山區三民路１１０巷１０號,,
宏昌牙醫診所,松山區,臺北市松山區延吉街４９號,,
王樣牙醫診所,松山區,臺北市松山區敦化北路４巷３５號,,
一泰牙醫診所,松山區,臺北市松山區民權東路五段５０號,,
王誌牙醫診所,松山區,臺北市松山區民權東路三段１６０巷２４號,,
光一診所,松山區,臺北市松山區延吉街22巷1號,,
原點牙醫診所,松山區,臺北市松山區慶城街16巷1號,,
完全優整合醫學診所,松山區,臺北市松山區南京東路三段303巷6弄11號,,
介壽診所,松山區,臺北市松山區光復北路226號,,
樂福牙醫診所,松山區,臺北市松山區南京東路五段100號,,
哲伸牙醫診所,松山區,臺北市松山區八德路三段１０６巷５０號,,
正信牙醫診所,松山區,臺北市松山區民生東路五段１６５號,,
三軍總醫院松山分院附設民眾診療服務處,松山區,臺北市松山區健康路１３１號,,
李士虹皮膚科診所,松山區,臺北市松山區民權東路3段136號,,
聖唐中醫診所,松山區,臺北市松山區延壽街48號,,
松原復健診所,松山區,臺北市松山區光復北路206號,,
佳德診所,松山區,臺北市松山區健康路18號,,
安德復復健專科診所,松山區,臺北市松山區光復北路181號,,
胡廣煜牙醫診所,松山區,臺北市松山區民生東路三段118號,,
弘祐中醫診所,松山區,臺北市松山區八德路三段12巷4弄15號,,
陳大昕耳鼻喉科診所,松山區,臺北市松山區八德路四段１００號,,
尚群眼科診所,松山區,臺北市松山區南京東路五段４３號,,
松展牙醫診所,松山區,臺北市松山區三民路8號,,
育晟中醫診所,松山區,臺北市松山區延吉街46巷4號,,
益茂中醫診所,松山區,臺北市松山區八德路三段12巷52弄10號,,
誠美牙醫診所,松山區,臺北市松山區民生東路五段１６０號,,
見安中醫診所,松山區,臺北市松山區基隆路一段３２號,,
松山內兒科診所,松山區,臺北市松山區八德路四段２５５號,,
藍明賢牙醫診所,松山區,臺北市松山區敦化北路２２２巷１之１號,,
馨牙醫診所,松山區,臺北市松山區長春路506號,,
延壽耳鼻喉科診所,松山區,臺北市松山區延壽街113號,,
高登牙醫診所,松山區,臺北市松山區民權東路三段１６６號,,
林翰牙醫診所,松山區,臺北市松山區新東街３０巷42號,,
峰牙醫診所,松山區,臺北市松山區民生東路四段49號,,
元品牙醫診所,松山區,臺北市松山區饒河街１９８號,,
暘昇牙醫診所,松山區,臺北市松山區南京東路三段２６０－１號,,
台新牙醫診所,松山區,臺北市松山區民生東路五段１４６號,,
敦品牙醫診所,松山區,臺北市松山區敦化北路２２２巷１０號,,
冠亞牙醫診所,松山區,臺北市松山區八德路三段207號,,
大統牙醫診所,松山區,臺北市松山區八德路三段２２５號,,
明義牙醫診所,松山區,臺北市松山區長安東路二段２１５號,,
國峰牙醫診所,松山區,臺北市松山區撫遠街３７０號,,
新華南牙醫診所,松山區,臺北市松山區延吉街２６號,,
張萬屏牙醫診所,松山區,臺北市松山區南京東路五段１２３巷８弄２號,,
東方牙醫診所,松山區,臺北市松山區民生東路五段二六八號,,
多倫多牙醫診所,松山區,臺北市松山區延吉街45號,,
南加州牙醫診所,松山區,臺北市松山區敦化南路一段69號,,
紀泓輝牙醫診所,松山區,臺北市松山區民生東路四段８４－１號,,
傑美牙醫診所,松山區,臺北市松山區八德路三段172號,,
瑞宏中醫診所,松山區,臺北市松山區八德路四段６７３巷１０號,,
永昌漢方中醫診所,松山區,臺北市松山區南京東路5段123巷2弄25號,,
仁和堂中醫診所,松山區,臺北市松山區八德路四段２０１號,,
和豐中醫診所,松山區,臺北市松山區南京東路五段251巷24弄19號,,
景仲牙醫診所,松山區,臺北市松山區復興北路２１５號,,
立達牙醫診所,松山區,臺北市松山區敦化北路２２２巷６２號,,
虹福牙醫診所,松山區,臺北市松山區市民大道四段５３號,,
長島牙醫診所,松山區,臺北市松山區民生東路五段９０號,,
華美牙醫診所,松山區,臺北市松山區南京東路4段102號,,
新東牙醫診所,松山區,臺北市松山區新東街11巷15--1號,,
碧礽牙醫診所,松山區,臺北市松山區光復北路８２號,,
臻品牙醫診所,松山區,臺北市松山區民生東路五段１２０號,,
李美玲牙醫診所,松山區,臺北市松山區民生東路三段１１３巷１１號,,
仁惠牙醫診所,松山區,臺北市松山區八德路三段74巷64號,,
史丹佛牙醫診所,松山區,臺北市松山區南京東路四段１０７號,,
延齡牙醫診所,松山區,臺北市松山區延壽街１２５號,,
上傑牙醫診所,松山區,臺北市松山區八德路二段３８６號,,
日聖眼科診所,松山區,臺北市松山區新中街３５號,,
德昌中醫診所,松山區,臺北市松山區延吉街38號,,
永承診所,松山區,臺北市松山區敦化北路155巷9號,,
蔡恭禮內兒科診所,松山區,臺北市松山區新東街28號,,
劉內兒科診所,松山區,臺北市松山區民生東路五段148號,,
李玉閣牙醫診所,松山區,臺北市松山區南京東路五段１６３－３號,,
宏慈牙醫診所,松山區,臺北市松山區光復南路21之4號,,
正斌牙醫診所,松山區,臺北市松山區南京東路四段７５巷１８號,,
偉德牙醫診所,松山區,臺北市松山區南京東路四段１０６號,,
施牙醫診所,松山區,臺北市松山區三民路１４３號,,
光泰牙醫診所,松山區,臺北市松山區南京東路四段１７２號,,
得揚牙醫診所,松山區,臺北市松山區三民路１３６巷４２號,,
元榜牙醫診所,松山區,臺北市松山區民生東路四段８８號,,
周牙醫診所,松山區,臺北市松山區南京東路五段２５６號,,
丘牙醫診所,松山區,臺北市松山區民生東路五段２２２號,,
麟翔牙醫診所,松山區,臺北市松山區慶城街２４號,,
向虹牙醫診所,松山區,臺北市松山區民族東路７６１號,,
正一中醫診所,松山區,臺北市松山區延吉街18號,,
車參薇小兒科診所,松山區,臺北市松山區八德路三段195號,,
趙彥宇邱慧嫻皮膚科聯合診所,松山區,臺北市松山區慶城街8之1號,,
英爵聯合診所,松山區,臺北市松山區南京東路3段331號,,
閎新耳鼻喉科皮膚科聯合診所,松山區,臺北市松山區八德路三段20之2號,,
怡碩視光眼科診所,松山區,臺北市松山區復興北路313巷28號,,
聯安診所,松山區,臺北市松山區南京東路4段16號,,
裕昇診所,松山區,臺北市松山區民生東路5段95號,,
宇恩復健科診所,松山區,臺北市松山區民權東路三段140巷15號,,
王貞乃皮膚科診所,松山區,臺北市松山區民生東路四段80巷6弄7號,,
杏典牙醫診所,松山區,臺北市松山區民生東路5段103號,,
康霖牙醫診所,松山區,臺北市松山區延壽街４３０號,,
立人牙醫診所,松山區,臺北市松山區民權東路三段１０３巷１號,,
蔡嘉倫牙醫診所,松山區,臺北市松山區民生東路三段１１６號,,
博仁綜合醫院,松山區,臺北市松山區光復北路66號,,
振誠中醫診所,松山區,臺北市松山區撫遠街３６８號,,
茶米中醫診所,松山區,臺北市松山區南京東路五段225號,,
崇民牙醫診所,松山區,臺北市松山區南京東路三段２５９號,,
杏頤牙醫診所,松山區,臺北市松山區復興北路361巷2之1號,,
健本牙醫診所,松山區,臺北市松山區八德路四段２１０－２號,,
柏林牙醫診所,松山區,臺北市松山區慶城街21之2號,,
黃系倫牙醫診所,松山區,臺北市松山區復興北路３１３巷３０號,,
誼欣牙醫診所,松山區,臺北市松山區延壽街338號,,
泛亞皮膚科整形外科診所,松山區,臺北市松山區復興北路35號,,
尚志塾遠絡診所,松山區,臺北市松山區南京東路四段164號,,
澄品牙醫診所,松山區,臺北市松山區敦化北路145巷73號,,
耀渼麗醫學美容診所,松山區,臺北市松山區南京東路3段259號,,
雷湘安皮膚科診所,松山區,臺北市松山區三民路43巷1號,,
富樂診所,松山區,臺北市松山區敦化北路167號,,
得意牙醫診所,松山區,臺北市松山區民權東路三段160巷22號,,
雅客牙醫診所,松山區,臺北市松山區南京東路五段3號,,
兆恩牙醫診所,松山區,臺北市松山區興安街218號,,
新中牙醫診所,松山區,臺北市松山區新中街１２之１號,,
德基牙醫診所,松山區,臺北市松山區八德路三段27號,,
基督復臨安息日會醫療財團法人臺安醫院,松山區,"臺北市松山區八德路二段424,426號",,
大都會牙醫診所,松山區,臺北市松山區八德路三段110號,,
竹君牙醫診所,松山區,臺北市松山區南京東路五段５４號,,
正顏診所,松山區,臺北市松山區八德路二段410巷12號,,
景賀醫美診所,松山區,臺北市松山區光復北路125號,,
李政洋身心診所,松山區,臺北市松山區三民路84號,,
明君牙醫診所,松山區,臺北市松山區八德路四段８０５號,,
泛美牙醫診所,松山區,臺北市松山區光復北路１４１號,,
京華皮膚科診所,松山區,臺北市松山區八德路三段238號,,
美人魚時尚婦產科診所,松山區,臺北市松山區南京東路三段331號,,
維一牙醫診所,松山區,臺北市松山區民生東路5段188號,,
民生瀚威中醫診所,松山區,臺北市松山區新中街25號,,
江建中診所,松山區,臺北市松山區八德路4段285號,,
朱家庭醫學科診所,松山區,臺北市松山區八德路3段12巷57弄39之1號,,
博美牙醫診所,松山區,臺北市松山區八德路4段106巷2弄20號,,
繼康美學牙醫診所,松山區,臺北市松山區延壽街337號,,
佑家診所,松山區,臺北市松山區八德路三段233號,,
禾玥醫學診所,松山區,臺北市松山區南京東路3段269巷6號,,
八德牙醫診所,松山區,臺北市松山區八德路四段636號,,
榮恩耳鼻喉科小兒科聯合診所,松山區,臺北市松山區南京東路五段２５８號,,
吳耳鼻喉科診所,松山區,臺北市松山區三民路１１３巷１－１號,,
吳慶南內科診所,松山區,臺北市松山區民生東路五段１３８巷１號,,
揚登牙醫診所,松山區,臺北市松山區南京東路五段２５０巷９－３號,,
泰華牙醫診所,松山區,臺北市松山區光復北路38號,,
髮王植髮診所,松山區,臺北市松山區慶城街21之3號,,
西松牙醫診所,松山區,臺北市松山區南京東路五段２９１巷４號,,
華泰中醫診所,松山區,臺北市松山區新東街66巷18號,,
全煜耳鼻喉科診所,松山區,臺北市松山區復興北路73號,,
康健牙醫診所,松山區,臺北市松山區延壽街１４３號,,
奧斯卡眼科診所,松山區,臺北市松山區敦化南路1段7號,,
楠桐中醫診所,松山區,臺北市松山區八德路四段94號,,
理想中醫診所,松山區,臺北市松山區南京東路五段46號,,
延吉中醫診所,松山區,臺北市松山區延吉街11號,,
維哲中醫診所,松山區,臺北市松山區南京東路四段102號,,
雅安牙醫診所,松山區,臺北市松山區民權東路三段117號,,
詹前俊小兒科診所,松山區,臺北市松山區民生東路五段１０５號,,
光與綠牙醫診所,松山區,臺北市松山區復興北路361巷8號,,
毛冠人牙醫診所,松山區,臺北市松山區南京東路五段２３巷１８號,,
景泰牙醫診所,大安區,臺北市大安區安和路二段一四七及一四九號,,
青田牙醫診所,大安區,臺北市大安區仁愛路三段26之3號,,
康泰牙醫診所,大安區,臺北市大安區四維路１７０巷１６號,,
吳坤光婦產科診所,大安區,臺北市大安區信義路四段５９號,,
昇陽中醫診所,大安區,臺北市大安區潮州街85號,,
新潔明牙醫診所,大安區,臺北市大安區信義路三段149號,,
嘉德麗雅診所,大安區,臺北市大安區信義路4段155號,,
張涵郁診所,大安區,臺北市大安區光復南路416號,,
璞之妍診所,大安區,臺北市大安區安和路1段21巷5號,,
語悅牙醫診所,大安區,臺北市大安區和平東路2段265巷18號,,
育群中醫診所,大安區,臺北市大安區忠孝東路四段216巷32弄8號,,
名範牙醫診所,大安區,臺北市大安區安和路二段１６７號,,
金郁婦產科診所,大安區,臺北市大安區忠孝東路四段177號,,
蘇仁和耳鼻喉科診所,大安區,臺北市大安區安和路一段十一號,,
啓安診所,大安區,臺北市大安區忠孝東路3段243號,,
永誠復健科診所,大安區,臺北市大安區復興南路二段236號,,
呂文智中醫診所,大安區,臺北市大安區和平東路一段二五八號,,
日禾牙醫診所,大安區,臺北市大安區忠孝東路3段217巷3弄4號,,
鑫辰牙醫診所,大安區,臺北市大安區信義路二段１９８巷８－１號,,
國立台灣大學保健中心,大安區,臺北市大安區羅斯福路四段１號,,
臻心美妍診所,大安區,臺北市大安區信義路4段71號,,
教主診所,大安區,臺北市大安區和平東路1段6號,,
好牙屋牙醫診所,大安區,臺北市大安區光復南路622號,,
群和牙醫診所,大安區,臺北市大安區光復南路三四八之二號,,
嘉士美牙醫診所,大安區,臺北市大安區復興南路2段148巷35號,,
中山醫療社團法人中山醫院,大安區,臺北市大安區仁愛路四段112巷11號,,
宏恩醫療財團法人宏恩綜合醫院,大安區,臺北市大安區仁愛路四段71巷1號,,
游鴻儒皮膚科診所,大安區,臺北市大安區仁愛路四段一五一巷三六號,,
黃明仁牙醫診所,大安區,臺北市大安區延吉街２４２號,,
慧安牙醫診所,大安區,臺北市大安區忠孝東路四段75之7號,,
璽悅中醫診所,大安區,臺北市大安區敦化南路1段184號,,
忠孝美麗爾診所,大安區,臺北市大安區敦化南路1段216號,,
禾馨新生婦幼診所,大安區,臺北市大安區新生南路三段2號,,
首爾醫美診所,大安區,臺北市大安區信義路4段382號,,
東區時尚美學診所,大安區,臺北市大安區忠孝東路4段134號,,
大安悅兒親子中醫診所,大安區,臺北市大安區光復南路432號,,
環球診所,大安區,臺北市大安區信義路二段184號,,
國立臺灣大學醫學院附設醫院癌醫中心分院,大安區,臺北市大安區基隆路 3段155巷57號,,
里昂哈佛仁愛牙醫診所,大安區,臺北市大安區仁愛路4段416號,,
尚行美耳鼻喉專科診所,大安區,臺北市大安區光復南路288號,,
徐國峰中醫診所,大安區,臺北市大安區建國南路1段160號,,
丰緹絲醫美診所,大安區,臺北市大安區大安路一段80號,,
多娜台北植髮診所,大安區,臺北市大安區信義路三段158號,,
看見佳醫診所,大安區,臺北市大安區忠孝東路3段305號,,
大地牙醫診所,大安區,臺北市大安區大安路二段一二 0 號,,
玩美爵品牙醫診所,大安區,臺北市大安區忠孝東路4段218號,,
光彩時尚診所,大安區,臺北市大安區忠孝東路四段191號,,
時尚假期醫美診所,大安區,臺北市大安區復興南路1段222號,,
真愛貝齒牙醫診所,大安區,臺北市大安區忠孝東路4段67之4號,,
沐美診所,大安區,臺北市大安區仁愛路4段25之1號,,
大安丰采睡眠醫學診所,大安區,臺北市大安區新生南路2段18號,,
維格診所,大安區,臺北市大安區仁愛路4段401號,,
欣民牙醫診所,大安區,臺北市大安區安和路一段１３５巷１８號,,
霍天年整形外科診所,大安區,臺北市大安區忠孝東路四段一九一號,,
詹骨科診所,大安區,臺北市大安區信義路四段５３巷６號,,
中心診所醫療財團法人中心綜合醫院,大安區,臺北市大安區忠孝東路四段７７號,,
巧玉牙醫診所,大安區,臺北市大安區信義路4段263號,,
正誠牙醫診所,大安區,臺北市大安區仁愛路4段79號,,
明圓中醫診所,大安區,臺北市大安區和平東路三段320號,,
敦平診所,大安區,臺北市大安區敦化南路2段333、335號,,
佳立得耳鼻喉科診所,大安區,臺北市大安區新生南路1段165巷1號,,
延吉診所,大安區,臺北市大安區延吉街二四一巷二弄五號,,
杏保醫網信誠診所,大安區,臺北市大安區信義路4段197號,,
張若偉中醫診所,大安區,臺北市大安區忠孝東路三段305號,,
博安家庭醫學科診所,大安區,臺北市大安區麗水街3號,,
巨星整形外科診所,大安區,臺北市大安區忠孝東路四段107號,,
金品牙醫診所,大安區,臺北市大安區金山南路2段142之1號,,
麗晶牙醫診所,大安區,臺北市大安區和平東路二段１７５巷２７號,,
瑞御診所,大安區,臺北市大安區敦化南路一段259號,,
璽恩牙醫診所,大安區,臺北市大安區金山南路2段192巷8號,,
三普牙醫診所,大安區,臺北市大安區安和路2段69巷8號,,
恩典中醫診所,大安區,臺北市大安區忠孝東路4段51之6號,,
柏登牙醫診所,大安區,臺北市大安區建國南路一段152號,,
黃崇禮皮膚科診所,大安區,臺北市大安區信義路三段192-1號,,
黃禎憲皮膚科診所,大安區,臺北市大安區師大路７1號,,
誠樂牙醫診所,大安區,臺北市大安區新生南路3段98號,,
優爾視眼科診所,大安區,臺北市大安區敦化南路一段283號,,
生髮診所,大安區,臺北市大安區敦化南路1段190巷12號,,
綺色佳診所,大安區,臺北市大安區敦化南路二段128號,,
北秀醫美健康管理診所,大安區,臺北市大安區光復南路116巷1號,,
大安皮膚專科診所,大安區,臺北市大安區新生南路2段8之1號,,
龍泉牙醫診所,大安區,臺北市大安區羅斯福路三段１１７號,,
劉耳鼻喉科診所,大安區,臺北市大安區復興南路2段151巷27號,,
時晴牙醫診所,大安區,臺北市大安區忠孝東路3段251巷3弄3號,,
安民家庭醫學科診所,大安區,臺北市大安區大安路1段65號,,
得康牙醫診所,大安區,臺北市大安區通化街１３７號,,
王修含皮膚科診所,大安區,臺北市大安區忠孝東路四段333號,,
瑞誠牙醫診所,大安區,臺北市大安區安和路1段106號,,
新苑牙醫診所,大安區,臺北市大安區和平東路二段265巷12號,,
定國牙醫診所,大安區,臺北市大安區和平東路二段２０１－１號,,
陳志明診所,大安區,臺北市大安區和平東路二段３３７號,,
光悅牙醫診所,大安區,臺北市大安區和平東路2段18之8號,,
耐斯診所,大安區,臺北市大安區敦化南路1段216號,,
