鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,手術恢復床,嬰兒床,血液透析床
3121,1,85,85,0,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,1,503,500,3,500,100,400,0,100,0,400,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3127,1,59,46,13,0,46,0,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8
3201,9,3664,2812,852,936,2206,606,1824,382,52,554,0,0,0,152,2,52,93,37,40,40,26,0,4,34,116,256
3202,11,1057,623,434,0,623,0,623,0,0,0,0,0,0,41,0,17,19,15,0,140,0,0,0,12,45,145
3204,2,601,410,191,0,310,100,310,0,100,0,0,0,0,25,0,0,25,0,0,62,0,0,0,6,20,53
3206,2,455,451,4,429,82,369,22,60,0,369,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
3207,3,4432,3445,987,125,3065,380,3040,25,280,100,0,0,0,296,28,67,190,0,12,15,24,0,0,49,40,266
3209,2,814,580,234,175,480,100,405,75,0,100,0,0,0,48,4,15,20,0,0,30,15,0,0,8,30,64
3210,5,913,582,331,0,582,0,582,0,0,0,0,0,0,54,0,8,28,5,0,56,12,0,0,9,63,96
3211,1,149,70,79,0,70,0,70,0,0,0,0,0,0,4,0,0,6,0,0,0,0,44,0,3,0,22
3301,1,180,180,0,180,60,120,0,60,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,5,801,646,155,350,396,250,296,100,0,250,0,0,0,18,0,0,28,1,0,60,0,0,0,5,4,39
3305,3,632,371,261,0,371,0,371,0,0,0,0,0,0,36,0,0,23,5,0,93,0,0,0,7,20,77
3306,1,436,320,116,170,180,140,150,30,0,140,0,0,0,12,0,3,10,0,0,40,0,0,0,2,20,29
3401,2,579,405,174,0,405,0,405,0,0,0,0,0,0,40,0,10,24,2,12,17,10,4,0,7,15,33
3402,2,1660,1197,463,0,1197,0,1197,0,0,0,0,0,0,104,5,28,70,9,21,16,22,6,0,14,37,131
3403,2,464,382,82,140,162,220,122,40,120,100,0,0,0,12,0,0,7,0,0,40,0,10,0,1,1,11
3405,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,15
3406,1,99,99,0,99,20,79,0,20,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,2,890,807,83,487,212,595,132,80,188,407,0,0,0,11,0,0,4,0,0,46,0,0,0,2,5,15
3501,7,1503,1090,413,280,930,160,810,120,0,160,0,0,0,67,4,14,47,0,0,117,0,0,0,12,40,112
3502,1,200,150,50,0,150,0,150,0,0,0,0,0,0,15,0,2,6,0,0,0,0,0,0,2,7,18
3503,1,53,30,23,0,30,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,19
3504,2,141,61,80,0,61,0,61,0,0,0,0,0,0,4,0,0,6,0,0,50,0,0,0,1,0,19
3505,3,1142,902,240,385,573,329,447,126,70,259,0,0,0,31,0,9,14,8,12,37,10,0,0,4,12,103
3508,1,51,20,31,0,20,0,20,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,15
3701,9,2943,2003,940,192,1735,268,1655,80,156,112,0,0,0,258,20,65,156,1,16,0,57,0,0,46,131,190
3702,4,1632,1429,203,690,829,600,619,210,120,480,0,0,0,56,0,10,20,0,0,0,0,0,0,8,22,87
3703,1,89,49,40,0,49,0,49,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,1,0,15
3704,2,63,40,23,0,40,0,40,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,15
3705,8,996,707,289,300,467,240,407,60,0,240,0,0,0,42,0,0,39,2,0,78,0,0,0,8,14,106
3706,1,40,36,4,0,36,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
3707,2,81,57,24,0,57,0,57,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,1,0,0
3708,3,333,221,112,0,221,0,221,0,0,0,0,0,0,15,0,6,19,5,0,28,0,0,0,4,10,25
3710,1,39,39,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3712,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3715,1,43,43,0,0,0,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3717,1,717,578,139,200,428,150,378,50,0,150,0,0,0,49,0,0,5,0,0,24,10,0,0,3,5,43
3801,2,569,377,192,50,377,0,327,50,0,0,0,0,0,46,0,3,14,0,0,44,0,0,0,4,6,75
3802,2,738,514,224,70,440,74,420,20,24,50,0,0,0,36,0,8,25,0,0,70,0,0,0,6,8,71
3803,4,1339,1196,143,943,446,750,253,193,0,750,0,0,0,18,0,10,9,8,0,0,0,0,4,4,15,75
3804,2,436,300,136,0,300,0,300,0,0,0,0,0,0,35,0,0,25,0,0,15,0,0,0,6,10,45
3806,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,18,0
3901,5,1631,1234,397,393,930,304,841,89,0,304,0,0,0,79,2,13,51,0,8,78,12,0,0,19,21,114
3902,1,74,21,53,0,21,0,21,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,2,0,27
3903,1,499,323,176,0,323,0,323,0,0,0,0,0,0,41,0,12,16,0,6,40,10,0,0,6,15,30
3904,2,333,220,113,0,220,0,220,0,0,0,0,0,0,24,0,0,14,3,0,30,0,0,0,2,3,37
3905,1,52,20,32,0,20,0,20,0,0,0,0,0,0,0,0,0,3,0,0,29,0,0,0,0,0,0
3906,4,556,360,196,0,360,0,360,0,0,0,0,0,0,43,0,3,11,0,0,58,12,0,0,5,14,50
3913,1,139,100,39,0,100,0,100,0,0,0,0,0,0,11,0,0,9,0,0,0,0,0,0,4,3,12
4001,2,1528,1194,334,124,1095,99,1070,25,0,99,0,0,0,107,4,8,42,5,10,20,16,0,0,15,12,95
4003,1,953,730,223,130,650,80,600,50,0,80,0,0,0,51,5,7,15,0,23,30,10,0,0,7,15,60
4014,1,538,482,56,330,92,390,40,52,72,278,40,0,0,10,0,0,2,0,0,36,0,8,0,0,0,0
4301,11,2357,1613,744,180,1452,161,1372,80,61,100,0,0,0,156,0,30,75,0,18,100,10,0,0,25,94,236
4302,3,139,124,15,0,124,0,124,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,2,0,0
4303,2,1192,891,301,20,841,50,821,20,50,0,0,0,0,68,0,7,23,6,0,24,20,0,0,2,34,117
4304,3,177,101,76,0,101,0,101,0,0,0,0,0,0,14,0,0,15,0,0,0,0,0,0,0,5,42
4307,1,333,333,0,333,60,273,0,60,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,2,51,50,1,0,50,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4313,2,716,610,106,400,266,344,156,110,54,290,0,0,0,16,0,0,10,0,0,60,0,0,0,2,0,18
4315,2,272,243,29,220,143,100,23,120,0,100,0,0,0,7,0,0,1,0,0,20,0,0,0,1,0,0
4316,1,194,145,49,0,145,0,145,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,30
4401,3,455,337,118,100,257,80,237,20,0,80,0,0,0,23,4,14,26,0,0,0,0,0,0,7,9,35
4501,4,1709,1196,513,90,1023,173,933,90,173,0,0,0,0,130,4,20,50,52,27,46,32,0,0,16,36,100
4502,1,264,215,49,120,125,90,95,30,0,90,0,0,0,11,0,0,6,0,0,24,0,0,0,1,0,7
4503,3,1590,1539,51,1384,337,1202,149,188,0,1196,6,0,0,9,0,0,9,0,0,0,0,0,0,1,6,26
4504,1,382,318,64,139,266,52,177,89,0,50,2,0,0,12,2,3,8,0,0,20,0,0,0,4,4,11
4506,1,215,200,15,200,40,160,0,40,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
4508,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4601,5,1358,940,418,246,794,146,694,100,0,146,0,0,0,72,2,25,39,5,8,109,11,0,0,15,32,100
4602,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
4603,1,43,32,11,0,32,0,32,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,2,0
9003,1,251,188,63,57,134,54,112,22,19,35,0,0,0,9,0,5,11,0,0,0,0,0,0,3,20,15
9101,1,46,40,6,0,40,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
