鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
735,9,2772,2102,670,769,1743,359,1224,519,109,250,0,0,0,151,0,0,27,74,0,11,113,33,0,58,0,0,14,0,0,21,59,109,0
736,5,289,171,118,0,171,0,171,0,0,0,0,0,0,0,0,0,2,5,2,0,38,0,0,0,0,0,0,0,0,4,67,0,0
737,1,59,33,26,0,25,8,25,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
738,4,653,427,226,0,427,0,427,0,0,0,0,0,0,20,0,0,10,31,0,0,65,0,0,0,0,0,7,0,0,10,25,58,0
1101,2,232,216,16,200,66,150,16,50,0,150,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
1103,1,125,48,77,0,48,0,48,0,0,0,0,0,0,6,0,0,0,6,0,0,54,0,0,0,0,0,0,0,0,1,0,10,0
1104,1,184,127,57,0,100,27,100,0,27,0,0,0,0,8,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,15,0
1106,2,1236,947,289,172,809,138,775,34,0,138,0,0,0,63,2,0,9,30,3,12,0,10,0,0,0,5,20,0,0,6,15,114,0
1107,2,519,347,172,32,347,0,315,32,0,0,0,0,0,32,0,0,5,20,1,0,54,0,0,0,0,0,10,0,0,5,7,37,1
1201,3,1054,740,314,0,740,0,740,0,0,0,0,0,0,65,0,0,41,73,0,0,0,7,0,0,0,0,0,0,0,21,45,62,0
1204,5,1309,942,367,117,892,50,775,117,50,0,0,0,0,58,0,4,15,52,9,6,87,12,0,0,0,0,0,0,0,7,35,82,0
2201,4,2160,1480,680,143,1310,170,1237,73,100,70,0,0,0,161,8,0,38,83,11,24,55,19,0,0,0,6,15,0,0,27,51,182,0
2202,8,1509,1048,461,300,643,405,568,75,180,225,0,0,0,71,0,0,1,18,5,0,251,0,0,0,1,0,3,0,0,7,4,100,0
3101,8,1635,957,678,28,957,0,929,28,0,0,0,0,0,92,4,0,20,55,8,0,200,46,0,0,0,0,0,0,0,16,35,202,0
3102,5,812,461,351,0,461,0,461,0,0,0,0,0,0,44,0,0,0,43,3,0,154,0,0,0,0,0,0,0,0,7,6,94,0
3103,4,537,310,227,0,310,0,310,0,0,0,0,0,0,24,0,0,8,13,3,0,87,0,0,0,0,0,2,0,0,7,32,51,0
3104,7,1207,825,382,35,825,0,790,35,0,0,0,0,0,61,0,0,12,42,6,10,114,10,0,0,0,0,0,0,0,13,28,86,0
3105,6,2182,1529,653,240,1188,341,1089,99,200,141,0,0,0,150,0,0,28,87,10,29,103,32,0,0,0,0,8,0,0,20,48,138,0
3106,8,1643,1208,435,252,740,468,670,70,40,182,0,246,0,44,0,0,7,42,10,0,230,0,0,0,0,0,0,0,0,3,10,89,0
3107,1,213,148,65,0,148,0,148,0,0,0,0,0,0,12,0,0,0,8,2,0,20,0,0,0,0,0,0,0,0,1,0,22,0
3108,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,3,593,430,163,51,342,88,342,0,37,51,0,0,0,36,0,0,15,33,7,0,0,0,0,0,0,0,0,0,0,11,25,36,0
3110,5,2031,1796,235,947,963,833,849,114,0,833,0,0,0,59,0,0,15,35,3,38,0,10,0,0,0,0,0,0,0,12,10,53,0
3111,1,622,465,157,25,465,0,440,25,0,0,0,0,0,33,0,0,12,31,6,13,0,0,0,0,0,0,0,0,0,10,16,36,0
3112,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3113,4,348,148,200,0,148,0,148,0,0,0,0,0,0,10,0,0,0,5,0,0,168,0,0,0,0,0,0,0,0,2,0,15,0
3114,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0
3121,1,85,85,0,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,1,503,500,3,500,100,400,0,100,0,400,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127,1,65,48,17,0,48,0,48,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
3201,9,3704,2816,888,986,2217,599,1785,432,45,554,0,0,0,151,0,0,52,90,49,47,40,26,0,4,11,0,16,0,0,36,116,250,0
3202,10,1019,620,399,0,620,0,620,0,0,0,0,0,0,41,0,0,17,19,15,0,110,0,0,0,0,0,0,0,0,12,40,145,0
3204,2,585,386,199,0,295,91,295,0,91,0,0,0,0,25,0,0,0,25,8,0,62,0,0,0,0,0,0,0,0,6,20,53,0
3206,2,455,451,4,429,82,369,22,60,0,369,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3207,3,4439,3288,1151,125,2908,380,2883,25,280,100,0,0,0,307,28,0,54,190,0,12,15,24,0,0,0,30,127,5,0,49,40,266,4
3209,2,799,563,236,175,463,100,388,75,0,100,0,0,0,48,4,0,15,20,0,0,24,15,0,0,0,0,0,0,0,8,30,72,0
3210,5,956,606,350,0,606,0,606,0,0,0,0,0,0,54,0,0,8,28,16,0,56,12,0,0,0,0,0,0,0,9,63,104,0
3211,1,139,70,69,0,70,0,70,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,34,0,0,3,0,22,0
3301,1,180,180,0,180,60,120,0,60,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,4,827,670,157,350,420,250,320,100,0,250,0,0,0,18,0,0,0,24,1,0,60,0,0,0,0,0,2,0,0,5,4,43,0
3305,3,647,400,247,0,400,0,400,0,0,0,0,0,0,36,0,0,0,20,5,0,82,0,0,0,0,0,0,0,0,7,20,77,0
3306,1,421,316,105,170,176,140,146,30,0,140,0,0,0,12,0,0,3,10,0,0,30,0,0,0,4,0,0,0,0,2,15,29,0
3401,2,579,405,174,0,405,0,405,0,0,0,0,0,0,40,0,0,10,24,2,12,17,10,4,0,0,0,0,0,0,7,15,33,0
3402,2,1605,1161,444,0,1161,0,1161,0,0,0,0,0,0,88,5,0,28,55,9,24,16,20,6,0,0,0,11,0,0,14,37,131,0
3403,2,463,382,81,140,162,220,122,40,120,100,0,0,0,12,0,0,0,6,0,0,40,0,10,0,0,0,0,0,0,1,1,11,0
3405,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0
3406,1,99,99,0,99,40,59,0,40,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,2,887,807,80,487,212,595,132,80,188,407,0,0,0,11,0,0,0,4,0,0,46,0,0,0,0,0,0,0,0,2,2,15,0
3501,7,1538,1103,435,307,943,160,796,147,0,160,0,0,0,67,4,0,14,47,0,0,117,0,0,0,1,0,13,0,0,12,40,120,0
3502,1,200,147,53,0,147,0,147,0,0,0,0,0,0,15,0,0,2,6,0,0,0,0,0,0,2,0,1,0,0,2,7,18,0
3503,1,53,30,23,0,30,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0
3504,2,110,61,49,0,61,0,61,0,0,0,0,0,0,4,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,1,0,19,0
3505,3,891,647,244,358,388,259,289,99,0,259,0,0,0,27,0,0,5,14,8,12,37,10,0,0,4,0,8,0,0,4,12,103,0
3508,1,51,20,31,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0
3701,9,2977,2023,954,192,1768,255,1688,80,143,112,0,0,0,255,20,0,65,156,1,16,0,57,0,0,6,5,24,0,0,45,106,198,0
3702,4,1654,1429,225,690,829,600,619,210,120,480,0,0,0,59,0,0,10,20,0,0,0,0,0,0,0,3,2,0,0,7,22,102,0
3703,1,89,49,40,0,49,0,49,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,1,0,15,0
3704,2,63,40,23,0,40,0,40,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0
3705,7,948,664,284,300,424,240,364,60,0,240,0,0,0,42,0,0,0,35,2,0,78,0,0,0,0,0,0,0,0,7,12,108,0
3706,1,40,36,4,0,36,0,36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3707,2,81,57,24,0,57,0,57,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0
3708,3,333,221,112,0,221,0,221,0,0,0,0,0,0,15,0,0,6,19,5,0,28,0,0,0,0,0,0,0,0,4,10,25,0
3710,1,39,39,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3715,1,52,52,0,0,9,43,9,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3717,1,691,578,113,200,428,150,378,50,0,150,0,0,0,35,0,0,0,5,0,0,12,10,0,0,0,0,0,0,0,3,5,43,0
3801,2,544,343,201,50,343,0,293,50,0,0,0,0,0,40,0,0,1,12,0,0,44,0,0,0,0,0,34,0,0,4,6,60,0
3802,2,738,508,230,70,434,74,414,20,24,50,0,0,0,36,0,0,8,25,0,0,70,0,0,0,6,0,0,0,0,6,8,71,0
3803,4,1337,1196,141,943,446,750,253,193,0,750,0,0,0,16,0,0,10,9,8,0,0,0,0,4,0,0,0,0,0,4,15,75,0
3804,2,354,234,120,0,234,0,234,0,0,0,0,0,0,19,0,0,0,20,0,0,12,0,0,0,13,0,0,0,0,6,5,45,0
3806,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
3901,5,1639,1230,409,430,910,320,800,110,0,320,0,0,0,76,2,0,13,51,0,8,69,12,0,0,19,0,13,0,0,19,8,119,0
3902,1,74,21,53,0,21,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,2,0,27,0
3903,1,499,306,193,0,306,0,306,0,0,0,0,0,0,41,0,0,12,16,0,6,40,10,0,0,15,0,2,0,0,6,15,30,0
3904,2,341,220,121,0,220,0,220,0,0,0,0,0,0,24,0,0,0,14,3,0,30,8,0,0,0,0,0,0,0,2,3,37,0
3905,1,42,20,22,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
3906,4,529,346,183,0,346,0,346,0,0,0,0,0,0,30,0,0,3,11,0,0,58,12,0,0,0,0,3,0,0,6,10,50,0
3913,1,135,98,37,0,98,0,98,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,2,2,12,0
4001,2,1593,1194,399,124,1095,99,1070,25,0,99,0,0,0,104,4,0,8,42,5,10,20,16,0,0,0,9,43,0,0,15,12,111,0
4003,1,965,730,235,130,650,80,600,50,0,80,0,0,0,47,5,0,7,15,0,23,30,10,0,0,0,0,12,0,0,11,15,60,0
4014,1,540,482,58,330,92,390,40,52,72,278,40,0,0,8,0,0,0,2,0,0,36,0,0,0,8,0,4,0,0,0,0,0,0
4301,10,2255,1521,734,180,1360,161,1280,80,61,100,0,0,0,136,0,0,30,74,0,19,108,10,0,0,3,0,0,0,0,24,94,236,0
4302,3,139,124,15,0,124,0,124,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4303,2,1175,891,284,20,841,50,821,20,50,0,0,0,0,68,0,0,7,23,6,0,16,10,0,0,0,0,0,0,0,2,34,117,1
4304,3,177,101,76,0,101,0,101,0,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,42,0
4307,1,333,333,0,333,60,273,0,60,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,2,51,50,1,0,50,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4313,2,686,610,76,400,266,344,156,110,54,290,0,0,0,12,0,0,0,10,0,0,40,0,0,0,0,0,0,0,0,2,0,12,0
4315,2,262,243,19,220,143,100,23,120,0,100,0,0,0,7,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0
4316,1,194,144,50,0,144,0,144,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0
4401,3,471,353,118,116,273,80,237,36,0,80,0,0,0,23,4,0,8,26,0,0,0,0,0,0,0,0,6,0,0,7,9,35,0
4501,4,1730,1164,566,90,991,173,901,90,173,0,0,0,0,130,0,4,22,50,10,27,46,32,0,0,25,6,31,0,0,16,35,132,0
4502,1,257,205,52,120,115,90,85,30,0,90,0,0,0,11,0,0,0,6,0,0,24,0,0,0,0,0,10,0,0,1,0,0,0
4503,3,1590,1533,57,1384,337,1196,149,188,0,1196,0,0,0,9,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,1,6,26,0
4504,1,382,318,64,139,266,52,177,89,0,50,2,0,0,12,2,0,3,8,0,0,20,0,0,0,0,0,0,0,0,4,4,11,0
4506,1,215,200,15,200,40,160,0,40,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
4508,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601,5,1211,868,343,263,702,166,605,97,0,166,0,0,0,68,2,0,15,24,0,8,94,9,0,0,0,0,12,0,0,12,19,80,0
4602,1,25,20,5,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
4603,1,59,32,27,0,32,0,32,0,0,0,0,0,0,4,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,1,2,0,0
9003,1,251,188,63,57,134,54,112,22,19,35,0,0,0,9,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,3,20,15,0
9101,1,46,40,6,0,40,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
