鄉鎮市區碼,醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床,漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察床,其他觀察病床,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床
1201,3,1083,736,347,0,736,0,736,0,0,0,0,0,0,67,0,0,41,73,0,0,0,7,0,1,0,3,0,0,21,45,89,0
1204,5,1298,942,356,117,892,50,775,117,50,0,0,0,0,57,0,4,15,42,0,6,87,12,0,0,0,7,0,0,9,35,82,0
2201,4,1979,1349,630,33,1249,100,1216,33,100,0,0,0,0,137,8,0,35,64,11,21,55,18,0,0,6,15,0,0,26,46,188,0
2202,8,1425,954,471,300,566,388,491,75,163,225,0,0,0,68,0,0,0,15,4,0,251,0,0,1,0,7,0,0,7,0,116,2
3101,7,1671,935,736,28,935,0,907,28,0,0,0,0,0,117,12,0,20,52,15,0,200,46,0,0,0,0,1,0,17,40,216,0
3102,4,714,342,372,0,342,0,342,0,0,0,0,0,0,48,10,0,0,21,3,0,154,0,0,1,0,16,0,0,10,6,101,2
3103,4,497,290,207,0,290,0,290,0,0,0,0,0,0,17,0,0,8,10,5,0,81,0,0,0,0,2,0,0,7,26,51,0
3104,5,1386,984,402,100,984,0,884,100,0,0,0,0,0,62,0,0,12,39,7,10,100,10,0,0,0,5,0,0,18,28,111,0
3105,6,2362,1687,675,240,1346,341,1247,99,200,141,0,0,0,158,0,0,28,71,11,29,103,32,0,4,0,16,2,0,21,50,150,0
3106,8,1532,1144,388,252,721,423,651,70,40,182,0,201,0,47,0,0,5,35,12,0,182,0,0,0,0,9,0,0,3,5,89,1
3107,1,212,148,64,0,148,0,148,0,0,0,0,0,0,12,0,0,0,8,1,0,20,0,0,0,0,0,0,0,1,0,22,0
3108,1,63,63,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,2,542,379,163,0,342,37,342,0,37,0,0,0,0,36,0,0,15,33,7,0,0,0,0,0,0,0,0,0,11,25,36,0
3110,5,2026,1779,247,947,946,833,832,114,0,833,0,0,0,59,0,0,18,22,7,28,0,13,0,5,0,12,8,0,12,10,53,0
3111,1,628,465,163,25,465,0,440,25,0,0,0,0,0,39,0,0,12,31,6,13,0,0,0,0,0,0,0,0,10,16,36,0
3112,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0
3113,4,346,148,198,0,148,0,148,0,0,0,0,0,0,8,0,0,0,4,1,0,168,0,0,0,0,0,0,0,2,0,15,0
3114,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,1,0,17,0,0,0,0,0,0,0,0,0,0,0
3121,1,85,85,0,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,1,503,500,3,500,100,400,0,100,0,400,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127,1,68,48,20,0,48,0,48,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,12,0
3201,9,3489,2610,879,916,2055,555,1649,406,45,510,0,0,0,147,0,2,38,87,51,47,40,26,4,11,0,28,0,0,34,106,258,0
3202,10,1096,611,485,0,611,0,611,0,0,0,0,0,0,44,0,0,17,23,23,0,93,24,0,0,0,1,0,0,13,40,205,2
3204,2,585,386,199,0,295,91,295,0,91,0,0,0,0,25,0,0,0,20,8,0,62,0,0,0,0,0,0,0,6,10,68,0
3206,2,474,450,24,429,81,369,21,60,0,369,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,21,0
3207,3,4409,3282,1127,125,2902,380,2877,25,280,100,0,0,0,305,28,0,54,160,0,12,15,24,0,0,36,127,5,0,51,40,266,4
3209,2,809,563,246,175,463,100,388,75,0,100,0,0,0,48,4,0,15,20,10,0,24,15,0,0,0,0,0,0,8,30,72,0
3210,5,959,611,348,0,611,0,611,0,0,0,0,0,0,54,0,0,5,28,15,0,44,10,0,0,0,0,0,0,10,63,119,0
3211,1,144,87,57,0,87,0,87,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,17,0,0,3,0,27,0
3301,1,240,240,0,240,60,180,0,60,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,4,841,653,188,338,403,250,315,88,0,250,0,0,0,18,0,0,0,24,1,8,60,0,0,0,0,7,0,0,5,4,61,0
3305,3,652,396,256,0,396,0,396,0,0,0,0,0,0,36,0,0,10,19,5,0,82,0,0,0,0,0,0,0,7,20,77,0
3306,1,421,316,105,170,176,140,146,30,0,140,0,0,0,12,0,0,3,10,0,0,30,0,0,4,0,0,0,0,2,15,29,0
3401,2,580,405,175,0,405,0,405,0,0,0,0,0,0,41,0,0,10,24,2,12,17,10,0,0,0,4,0,0,7,15,33,0
3402,2,1591,1161,430,0,1161,0,1161,0,0,0,0,0,0,86,3,0,25,55,9,24,16,20,0,0,0,17,0,0,14,30,131,0
3403,2,333,265,68,140,118,147,78,40,47,100,0,0,0,9,0,0,0,6,0,0,40,0,0,0,0,0,0,0,1,1,11,0
3405,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,15,0
3406,1,99,99,0,99,40,59,0,40,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,2,806,727,79,487,212,515,132,80,108,407,0,0,0,10,0,0,0,4,0,0,46,0,0,0,0,0,0,0,2,2,15,0
3501,7,1509,1093,416,319,921,172,774,147,0,172,0,0,0,65,4,0,8,40,5,0,113,0,0,1,0,13,0,0,12,27,128,0
3502,1,200,147,53,0,147,0,147,0,0,0,0,0,0,15,0,0,2,6,0,0,0,0,0,2,0,1,0,0,2,7,18,0
3503,1,53,30,23,0,30,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,19,0
3504,2,95,61,34,0,61,0,61,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,1,0,8,0
3505,3,1027,787,240,387,499,288,400,99,0,288,0,0,0,27,0,0,5,14,8,12,37,10,0,4,0,4,0,0,4,12,103,0
3508,1,51,20,31,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,15,0
3701,9,2931,2004,927,192,1749,255,1669,80,143,112,0,0,0,257,16,0,68,129,1,16,0,57,0,7,4,24,1,0,45,100,202,0
3702,4,1625,1389,236,650,789,600,619,170,120,480,0,0,0,70,0,0,10,20,0,0,0,0,0,0,3,2,0,0,7,22,102,0
3703,1,89,49,40,0,49,0,49,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,1,0,15,0
3704,2,60,40,20,0,40,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,15,0
3705,8,1072,707,365,299,468,239,408,60,0,239,0,0,0,63,0,0,28,41,0,0,78,0,0,0,0,1,0,0,19,27,108,0
3706,1,40,36,4,0,36,0,36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3707,2,67,45,22,0,45,0,45,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,1,0,0,0
3708,3,317,221,96,0,221,0,221,0,0,0,0,0,0,15,0,0,4,13,2,0,28,0,0,0,0,0,0,0,4,5,25,0
3710,1,39,39,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3715,1,52,52,0,0,9,43,9,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3717,1,600,487,113,200,337,150,287,50,0,150,0,0,0,35,0,0,0,5,0,0,12,10,0,0,0,0,0,0,3,5,43,0
3801,2,546,343,203,50,343,0,293,50,0,0,0,0,0,40,0,0,1,12,0,0,46,0,0,0,0,34,0,0,4,6,60,0
3802,2,710,508,202,70,434,74,414,20,24,50,0,0,0,26,0,0,8,20,0,0,54,0,0,6,0,0,0,0,6,5,77,0
3803,4,1323,1174,149,943,424,750,231,193,0,750,0,0,0,18,0,0,10,9,10,0,0,0,4,0,0,0,0,0,4,15,79,0
3804,2,350,234,116,0,234,0,234,0,0,0,0,0,0,15,0,0,0,20,0,0,12,0,0,13,0,0,0,0,6,5,45,0
3806,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,18,0,0
3901,5,1644,1232,412,432,912,320,800,112,0,320,0,0,0,73,2,0,13,51,0,8,67,12,0,19,0,13,0,0,19,8,127,0
3902,1,74,21,53,0,21,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,2,0,27,0
3903,1,499,312,187,0,312,0,312,0,0,0,0,0,0,41,0,0,12,16,0,0,40,10,0,15,0,2,0,0,6,15,30,0
3904,2,341,220,121,0,220,0,220,0,0,0,0,0,0,24,0,0,0,12,3,0,30,8,0,0,0,2,0,0,2,3,37,0
3905,1,42,20,22,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0
3906,4,550,346,204,0,346,0,346,0,0,0,0,0,0,36,0,0,3,11,0,0,58,12,0,0,0,3,0,0,6,10,65,0
3913,1,138,96,42,0,96,0,96,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,4,0,0,2,2,15,0
4001,2,1571,1174,397,124,1075,99,1050,25,0,99,0,0,0,104,2,4,10,30,5,10,20,20,0,0,9,43,2,0,15,12,111,0
4003,1,957,730,227,130,650,80,600,50,0,80,0,0,0,47,5,0,7,15,0,15,30,10,0,0,0,12,0,0,11,15,60,0
4014,1,498,440,58,330,92,348,40,52,70,278,0,0,0,8,0,0,0,2,0,0,36,0,0,8,0,4,0,0,0,0,0,0
4301,9,2205,1468,737,180,1328,140,1248,80,40,100,0,0,0,137,0,0,24,54,20,21,127,10,0,0,0,14,0,0,23,69,236,2
4302,3,139,124,15,0,124,0,124,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4303,2,1061,775,286,20,760,15,740,20,15,0,0,0,0,70,0,0,7,23,2,0,16,10,0,0,0,0,0,0,5,34,117,2
4304,3,172,101,71,0,101,0,101,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,5,42,0
4306,1,333,333,0,333,60,273,0,60,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,2,41,40,1,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4313,2,542,470,72,323,206,264,117,89,30,234,0,0,0,12,0,0,0,8,0,0,36,0,0,0,0,0,0,0,1,0,15,0
4315,2,237,233,4,210,133,100,23,110,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
4316,1,210,160,50,0,160,0,160,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,30,0
4401,3,471,353,118,116,273,80,237,36,0,80,0,0,0,23,4,0,6,24,0,0,0,0,0,0,0,6,0,0,7,9,39,0
4501,3,1681,1164,517,90,991,173,901,90,173,0,0,0,0,117,0,4,22,50,6,25,30,20,0,30,6,26,4,0,20,25,132,0
4502,1,218,183,35,111,93,90,72,21,0,90,0,0,0,8,0,0,0,6,0,0,20,0,0,0,0,0,0,0,1,0,0,0
4503,3,1555,1495,60,1354,299,1196,141,158,0,1196,0,0,0,12,0,0,0,9,0,0,0,0,0,6,0,0,0,0,1,6,26,0
4504,1,365,304,61,125,252,52,177,75,0,50,2,0,0,10,2,0,2,8,0,0,20,0,0,0,0,0,0,0,2,2,15,0
4506,1,215,200,15,200,40,160,0,40,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
4508,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601,5,1150,815,335,246,649,166,569,80,0,166,0,0,0,67,2,0,13,24,0,8,76,5,0,0,0,17,0,0,12,19,92,0
4602,1,26,20,6,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4603,1,57,32,25,0,32,0,32,0,0,0,0,0,0,2,0,0,0,4,16,0,0,0,0,0,0,0,0,0,1,2,0,0
9003,1,348,271,77,102,180,91,150,30,19,72,0,0,0,12,0,0,5,11,0,0,0,0,0,9,0,2,0,0,3,20,15,0
9101,1,43,26,17,0,26,0,26,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,4,0,2,0,0,0,0,4,0
