"場所ID","場所名稱","場所縣市","場所區域","場所地址","場所分類","場所類型","場所描述","AEDID","AED放置地點","AED地點描述","地點LAT","地點LNG","周一至周五起","周一至周五迄","周六起","周六迄","周日起","周日迄","開放使用時間備註","開放時間緊急連絡電話"
"19535","華儲股份有限公司","桃園市","大園區","桃園市大園區航勤北路10-1號","其他","其他場所","華儲（股）公司聯管中心通道處","582","警備隊","警備隊","25.089699","121.245364","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-3939-800分機2204"
"1558","南開科技大學","南投縣","草屯鎮","南投縣草屯鎮中正路568號","學校、大型集會場所","大專院校","","583","教學大樓門口","放置於教學大樓門口外之牆邊","23.979233","120.696843","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","","0953-695695"
"102","神木谷假期大飯店","臺中市","和平區","臺中市和平區博愛里東關路一段溫泉巷7號","旅宿場所","飯店","","587","神木谷餐廳","餐廳自動門旁","24.204311","121.009436","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","04-25951511"
"2233","華通電腦股份有限公司大園廠","桃園市","大園區","桃園市大園區中山北路275號","其他","其他場所","","591","醫務室","一樓辦公室醫務室置物櫃上","25.075077","121.187425","08:00:00","00:00:00","08:00:00","00:00:00","08:00:00","00:00:00","","03-3863000#5091"
"1299","財團法人國家衛生研究院(行政大樓)","苗栗縣","竹南鎮","苗栗縣竹南鎮科研路35號","其他","其他場所","","603","行政大樓一樓警衛室旁","財團法人國家衛生研究院行政大樓一樓警衛室旁","24.70524","120.91392","08:30:00","17:00:00","","","","","","星期一至星期五08:30~1700"
"5268","英屬維京群島商太古可口可樂股份有限公司台灣分公司","桃園市","桃園區","桃園市桃園區興邦路46號","其他","其他場所","","620","1樓大梯電梯前","於1樓大廳電梯前","24.979912","121.325394","08:00:00","17:00:00","","","","","例假日除外","03-3648800"
"10361","一滴水紀念館旅客服務中心","新北市","淡水區","新北市淡水區中正路一段6巷30號","觀光旅遊地區","文化園區","","625","一滴水紀念館旅客服務中心","服務中心1樓","25.178206","121.430772","09:00:00","17:00:00","09:00:00","17:00:00","","","開放時間為週二至週六上午9時至下午5時，週日及週一休館。","02-26263350"
"784","宜蘭縣立體育場羅東遊客管理中心","宜蘭縣","羅東鎮","宜蘭縣羅東鎮公正路666號","其他","其他場所","","646","羅東運動公園遊客中心","羅東運動公園游泳池遊客中心","24.681747","121.751894","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","03-541216"
"9315","宜蘭縣立體育場-宜蘭運動公園體育館","宜蘭縣","宜蘭市","宜蘭縣宜蘭市中山路1段755號","大型休閒場所","運動場館(如小巨蛋)","","647","宜蘭縣立體育場-宜蘭運動公園田徑場西六區入口處","宜蘭縣立體育場-宜蘭運動公園田徑場西六區入口處","24.738568","121.753385","08:00:00","17:00:00","","","","","宜蘭運動公園田徑場西六區入口處","03-9254034"
"17512","國立臺灣師範大學校本部(和平東路1段162號) ","臺北市","大安區","臺北市大安區和平東路1段162號","學校、大型集會場所","大專院校","","653","校本部體育館2樓","校本部體育館2樓體育室外","25.025797","121.526706","06:00:00","23:00:00","","","","","星期六.日視舉辦活動採不定期開放","02-77343123"
"212","國立臺灣史前文化博物館","臺東縣","臺東市","臺東縣臺東市博物館路1號","大型休閒場所","博物館","","668","大廳","展廳1樓入口大廳","22.769455","121.093926","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","星期一休館","089-381166*278、228"
"1732","統一健身俱樂部-高雄夢時代館","高雄市","前鎮區","高雄市前鎮區中華五路769號6樓","學校、大型集會場所","健身房","","677","健身房入口大廳","大廳入口右側","22.594984","120.306784","07:00:00","23:00:00","07:00:00","23:00:00","07:00:00","23:00:00","","07-9769011"
"1564","高雄市議會","高雄市","鳳山區","高雄市鳳山區國泰路二段156號","學校、大型集會場所","議會","","679","駐衛警值班台","入口大廳左側駐衛警值班台","22.621263","120.347335","08:00:00","17:30:00","","","","","","07-7470171"
"1926","統一健身俱樂部-高雄巨蛋館","高雄市","左營區","高雄市左營區博愛二路757號1~4樓","學校、大型集會場所","健身房","","680","二樓健身房","健身房","22.668709","120.301264","07:00:00","23:00:00","08:00:00","23:00:00","08:00:00","23:00:00","","07-5523148"
"1926","統一健身俱樂部-高雄巨蛋館","高雄市","左營區","高雄市左營區博愛二路757號1~4樓","學校、大型集會場所","健身房","","684","四樓游泳池","室水溫水游泳池","22.668858","120.301301","07:00:00","23:00:00","08:00:00","23:00:00","08:00:00","23:00:00","每天中午11:30~12:30為清場時間","07-5523148"
"1399","中興保全基隆分公司","基隆市","信義區","基隆市信義區信二路52號","其他","其他場所","","687","經理辦公室","請洽分公司內人員","25.12915","121.756345","08:00:00","18:45:00","","","","","","77091682"
"4223","中興保全股份有限公司台南二分公司","臺南市","永康區","臺南市永康區中正七街103號碼","其他","其他場所","","692","1F大門入口處右側","中興保全股份有限公司台南二分公司辦公室1F大門入口處右側","23.04188","120.24025","08:00:00","18:00:00","","","","","","06-2537240"
"3063","新北市永和區秀朗國民小學","新北市","永和區","新北市永和區得和路202號","學校、大型集會場所","國小","","695","基層選手游泳訓練站","存放於泳池內醫護站","24.998237896752","121.522580334","06:00:00","20:00:00","13:00:00","21:00:00","","","","02-29420451＃5203＃6909"
"942","財政部北區國稅局板橋分局","新北市","板橋區","新北市板橋區文化路一段48號","其他","其他場所","","696","一樓","板橋分局一樓上班刷卡處","25.011976","121.45957","08:00:00","17:00:00","","","","","","02-29683569"
"1700","錄銳製罐企業股份有限公司","彰化縣","北斗鎮","彰化縣北斗鎮大新路649號","其他","其他場所","","708","會議室","辦公室前方之會議室內","23.856007","120.554754","08:00:00","17:00:00","","","","","星期六不定時上班","04-8884736"
"1237","國立故宮博物院","臺北市","士林區","臺北市士林區至善路2段221號","大型休閒場所","博物館","","726","國立故宮博物院研究大樓1樓大廳","國立故宮博物院右側第1棟研究大樓","25.10235","121.548432","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","行政辦公大樓(未開放參觀)","02-2881-2021*2267"
"1237","國立故宮博物院","臺北市","士林區","臺北市士林區至善路2段221號","大型休閒場所","博物館","","727","地下一樓醫務室醫務室","國立故宮博物院地下一樓醫務室","25.10234","121.548411","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","周一休館","02-6610-3600*2267"
"1581","慈濟學校財團法人慈濟大學-大喜館","花蓮縣","花蓮市","花蓮縣花蓮市中央路3段701號","學校、大型集會場所","大專院校","","769","校本部-大喜館","大喜館1F服務台","23.992894","121.591241","08:00:00","22:00:00","08:00:00","17:30:00","08:00:00","17:30:00","星期六08：00至17：30 (12:00-13:30休館)
星期日08：00至17：30 (12:00-13:30休館)
國定假日公休","03-8565301#1208"
"1638","慈濟大學人文社會學院-男生宿舍","花蓮縣","花蓮市","花蓮縣花蓮市介仁街67號","學校、大型集會場所","大專院校","","772","人文社會學院-男生宿舍","人社院男生宿舍1F","24.000093","121.572475","08:00:00","22:00:00","08:00:00","22:00:00","08:00:00","22:00:00","","03-8572677#5820"
"4521","國立體育大學游泳池","桃園市","龜山區","桃園市龜山區文化一路250號游泳池","學校、大型集會場所","大專院校","","785","樸園教育訓練中心","一樓大廳櫃台內值班人員24小時","25.036099","121.385006","","","","","","","無休息","03-3974231"
"1796","義大遊樂世界","高雄市","大樹區","高雄市大樹區學城路一段10號","觀光旅遊地區","國家級風景區","","800","A區1樓","A區大衛城1樓旁有4D身歷奇境遊具","22.730219","120.407184","09:00:00","17:00:00","09:00:00","19:30:00","09:00:00","17:00:00","","07-6568080#2424"
"1796","義大遊樂世界","高雄市","大樹區","高雄市大樹區學城路一段10號","觀光旅遊地區","國家級風景區","","801","B區糖果博覽會","義大遊樂世界B區糖果博覽會入口，哺集乳室旁","22.729667","120.406958","09:00:00","17:00:00","09:00:00","19:30:00","09:00:00","17:00:00","","07-6568080#2424"
"550","國立臺灣圖書館","新北市","中和區","新北市中和區中安街85號","大型休閒場所","圖書館","","815","國立臺灣圖書館","國立臺灣圖書館---(新北市中和區中安街85號)---博愛門入口右側","25.00122","121.51282","09:00:00","21:00:00","09:00:00","21:00:00","09:00:00","21:00:00","國定假日及每週一休館","0922-792452"
"4521","國立體育大學游泳池","桃園市","龜山區","桃園市龜山區文化一路250號游泳池","學校、大型集會場所","大專院校","","819","國立體育大學-行政一樓(警衛室)","國立體育大學-行政一樓(警衛室)有駐衛警24小時值班","25.036099","121.385006","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","無休息","03-3283201"
"24242","長庚學校財團法人長庚科技大學-庚勤樓(三舍)","桃園市","龜山區","桃園市龜山區文化一路261號-庚勤樓(三舍)","學校、大型集會場所","大專院校","本場所為學生宿舍，進出設有門禁管制。外來人員須經由生輔員核准申請後方可進入；教職員及學生則須配戴教職員證或學生證，並經刷卡認證後方得入內。","829","庚勤樓(三舍)K棟5樓","庚勤樓(三舍)K棟5樓，進入管制區後右邊外側牆面","25.030066142181","121.39029598323","08:00:00","17:00:00","","","","","本場所為學生宿舍，進出設有門禁管制。外來人員須經由生輔員核准申請後方可進入；教職員及學生則須配戴教職員證或學生證，並經刷卡認證後方得入內。","03-2118999-5591"
"24243","長庚學校財團法人長庚科技大學-庚耘樓(二舍)","桃園市","龜山區","桃園市龜山區文化一路261號-庚耘樓(二舍)","學校、大型集會場所","大專院校","本場所為學生宿舍，進出設有門禁管制。外來人員須經由生輔員核准申請後方可進入；教職員工及學生則須配戴教職員證或學生證，並經刷卡認證後方得入內。","830","庚耘樓4樓大廳","庚耘樓4樓大廳舍監室外側牆面，鄰近學生冷氣卡加值機","25.030202691872","121.39028060548","08:00:00","17:00:00","","","","","","03-2118999-5547"
"186","國立苑裡高級中學","苗栗縣","苑裡鎮","苗栗縣苑裡鎮育才街100號","學校、大型集會場所","高中職","","832","健康中心","大門 右側 創新樓 1樓中廊 過後第一間","24.447814","120.65627","08:00:00","17:00:00","","","","","","037-868680 #319"
"6224","台元科技園區","新竹縣","竹北市","新竹縣竹北市台元街30號","其他","其他場所","","842","一期F棟台元街30號","1樓大廳","24.842534","121.013981","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-5526290"
"325","中國文化大學 大恩館","臺北市","士林區","臺北市士林區華岡路55號","學校、大型集會場所","大專院校","","852","大孝館(體育館)","中國文化大學校本部大孝館(體育館)2樓，進入體育館後右手邊方向。","25.134499","121.539216","07:00:00","21:00:00","07:00:00","16:30:00","07:00:00","16:30:00","寒暑假開放時間另行公告","02-28610511#11911"
"1769","新竹豐邑喜來登大飯店","新竹縣","竹北市","新竹縣竹北市光明六路東一段265號","旅宿場所","旅館","","861","東館1樓大廳沙發區旁","由大廳進入，往左邊的沙發區旁，掛在牆壁上，
1樓大廳沙發區 旁(靠近check in 櫃台)","24.820282","121.027919","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","02-6206110"
"1790","新竹豐邑喜來登大飯店","新竹縣","竹北市","新竹縣竹北市光明六路東一段265號","旅宿場所","旅館","","862","5樓健身中心內","5樓健身中心內健身器材旁邊","24.820282","121.027919","08:00:00","22:00:00","08:00:00","22:00:00","08:00:00","22:00:00","","03-6206110"
"1057","台元科技園區","新竹縣","竹北市","新竹縣竹北市台元街26號3樓(一期會館)","其他","其他場所","","864","一期G棟台元運動健身中心一館","放置於一期會館3樓健身中心一館入口處","24.841532","121.012782","06:00:00","22:00:00","09:30:00","18:30:00","09:30:00","18:30:00","","03-552-6077"
"1061","台元科技園區","新竹縣","竹北市","新竹縣竹北市台元街34號1樓(二期會館)","其他","其他場所","","865","二期H棟台元運動健身中心二館","放置於二期會館1樓健身中心及星巴克入口處","24.843011","121.016531","06:00:00","22:00:00","09:30:00","18:30:00","09:30:00","18:30:00","","03-552-6077"
"1064","台元科技園區","新竹縣","竹北市","新竹縣竹北市台元一街7號(三期)","其他","其他場所","","866","三期L棟Food Center員工餐廳","三期Food Center內往停車場方向牆邊","24.842018","121.017455","07:00:00","22:00:00","08:00:00","18:00:00","08:00:00","18:00:00","","03-552-6077"
"22419","台中豐邑MOXY酒店 (Moxy Taichung)","臺中市","南屯區","臺中市南屯區文心南六路二八八號","旅宿場所","旅館","PLAY ON MOXY TAICHUNG
Moxy是一家有趣、富有活力及時尚的酒店，專為 &quot;Always-On” - 總是在尋找新體驗的客人所設計的。我們活潑的公共空間及有活力的隊員們為客人帶來開","868","館內 2F 健身房旁","PLAY ON MOXY TAICHUNG
Moxy是一家有趣、富有活力及時尚的酒店，專為 &quot;Always-On” - 總是在尋找新體驗的客人所設計的。我們活潑的公共空間及有活力的隊員們為客人帶來開","24.131002147339","120.64672030273","","","","","","","","04-36007009"
"5866","明湖水漾會館","苗栗縣","頭屋鄉","苗栗縣頭屋鄉明德村明德路54號","旅宿場所","旅館","","869","明湖水樣會館餐廳入口旁","明湖水漾會館一樓藝品區右側角落、明湖水漾會館後門進入大廳右手邊","24.585977","120.887402","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","全年無休","037-255-988"
"5649","京鼎精密科技股份有限公司","苗栗縣","竹南鎮","苗栗縣竹南鎮科中路16號","其他","其他場所","","872","一樓大廳","一樓大廳總機櫃台後方","24.71312","120.915167","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","全天開放使用","037-580088"
"6473","友達光電股份有限公司桃園分公司","桃園市","龜山區","桃園市龜山區華亞二路189號","其他","其他場所","","879","B1 維力中心外","B1 維力中心外","25.019909","121.365599","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-3968800#6600"
"2747","渴望園區服務開發股份有限公司龍潭分公司","桃園市","龍潭區","桃園市龍潭區渴望路428號","其他","其他場所","","880","1F大廳","渴望會館大門口 一樓大廳","24.839535","121.18385","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-4072999"
"5535","友達光電股份有限公司","桃園市","龍潭區","桃園市龍潭區桃園市龍潭區龍科街228號","其他","其他場所","","881","B棟B1 ERC門口","環境安全部,緊急應變課入口旁","24.877133","121.18592","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","24小時放置","0-4998800轉6600"
"2206","友達光電股份有限公司桃園分公司","桃園市","龍潭區","桃園市龍潭區渴望園區新和路1號","其他","其他場所","","882","B棟2樓","B棟2樓","24.84436","121.188201","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-4078800#6600"
"22227","綺麗商旅","臺東縣","臺東市","臺東縣臺東市中興路三段五七九巷101弄九號","交通要衝","機場","本飯店接待國內外散客 團體客人 提供早餐","884","大廳","大廳進來右手邊飲水機旁清晰可見","22.770668811404","121.11302766715","","","","","","","","089-231528"
"1157","大統益股份有限公司","臺南市","官田區","臺南市官田區二鎮村工業西路32號","其他","其他場所","","889","大統益股份有限公司","警衛室","23.21135","120.320359","07:00:00","18:00:00","07:00:00","15:00:00","","","警衛室24小時值班","06-6984500#314"
"9944","安瀚視特股份有限公司","臺南市","安南區","臺南市安南區工業三路8號","其他","其他場所","","890","一廠放置點（TC5/6刷卡區）","一廠放置點 (TC5/6刷卡處)","23.035046","120.153953","","","","","","","全時段開放","06-3840225*61501"
"1406","國道1號統一超商仁德服務區北站","臺南市","仁德區","臺南市仁德區中洲里中洲路1巷200號","交通要衝","高速公路服務區","","895","台南市仁德區中洲里中洲路1巷200號","賣場入口主通道","22.909584","120.249932","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","06-2780615"
"2586","新北市私立格致高級中學","新北市","三重區","新北市三重區大智街260號","學校、大型集會場所","高中職","","904","教官室外","新北市私立格致高級中等學校
大門附近  教官室外","25.073695","121.488766","07:00:00","21:00:00","07:00:00","12:00:00","","","","(02)29855892"
"7111","高新牙醫診所","彰化縣","員林市","彰化縣員林市萬年路三段105號","其他","其他場所","","912","二樓走道","高新牙科二樓走道","23.958464","120.573634","09:00:00","21:30:00","09:00:00","21:30:00","","","禮拜日休診","04-8390123"
"6326","友達光電L6A廠","臺中市","西屯區","臺中市西屯區中科路1號","其他","其他場所","","914","友達光電 台中-L6A 廠 F棟3樓門禁口出入口","F 棟 3F 無塵室人員進出口","24.204385","120.616322","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","工廠內部營運時間全年無休，但進入內部有人員出入管制，不對外開放","04-24608800#1119"
"4170","福容大飯店股份有限公司台北分公司","臺北市","大安區","臺北市大安區建國南路一段266號","其他","其他場所","","936","一樓大廳櫃檯前方","大廳櫃檯前方","25.036628","121.53721","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","24小時全年無休","02-2701-9266"
"934","新光三越百貨（股）公司台北南西分公司","臺北市","中山區","臺北市中山區南京西路12號1樓服務台","大型購物場所","百貨業","","937","1樓服務台","1樓服務台","25.052266","121.521052","11:00:00","21:30:00","11:00:00","22:00:00","11:00:00","21:30:00","","02-25682868#3107"
"13519","市府轉運站","臺北市","信義區","臺北市信義區忠孝東路五段六號","交通要衝","轉運站","","938","售票大廳","售票大廳","25.040914","121.565136","07:00:00","23:00:00","","","","","由服務台專業人員使用","02-27221166"
"1913","統一百華股份有限公司(統一時代百貨公司台北店)","臺北市","信義區","臺北市信義區忠孝東路5段8號","大型購物場所","百貨業","","939","一樓服務台","一樓服務台(忠孝東路側)","25.040587","121.565888","11:00:00","21:30:00","11:00:00","21:30:00","11:00:00","21:30:00","以百貨公告之實際營業時間為主","02-27299699"
"1595","交通部民用航空局臺北國際航空站(松山機場)","臺北市","松山區","臺北市松山區敦化北路340-9號","交通要衝","機場","","946","國際線2樓內候機室(東)","5、6登機門間","25.064205","121.553397","05:00:00","23:00:00","05:00:00","23:00:00","05:00:00","23:00:00","","(02)8770-3550"
"11433","財團法人臺灣敦睦聯誼會所屬作業組織圓山大飯店","臺北市","中山區","臺北市中山區中山北路4段1巷1號","旅宿場所","旅館","","949","聯誼會游泳池","在游泳池教練室","25.079147662781","121.52706036853","","","","","","","","0228861818#1716"
"1125","國立臺灣大學(校總區)","臺北市","大安區","臺北市大安區羅斯福路4段1號","學校、大型集會場所","大專院校","","954","管理研教館","位於大門進入後之前方","25.013041","121.538728","08:30:00","17:30:00","","","","","","33661027"
"1235","國立臺灣大學(醫學校區)","臺北市","中正區","臺北市中正區仁愛路1段1號","學校、大型集會場所","大專院校","","959","醫學體育館","大門入口偏左側柱子前。","25.040607","121.521315","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","23123456*288044"
"1235","國立臺灣大學(醫學校區)","臺北市","中正區","臺北市中正區仁愛路1段1號","學校、大型集會場所","大專院校","","960","醫學基醫大樓","仁愛路大門入口左側，駐警室櫃台前。","25.039724","121.519757","08:30:00","17:30:00","","","","","","23123456*88044"
"1235","國立臺灣大學(醫學校區)","臺北市","中正區","臺北市中正區仁愛路1段1號","學校、大型集會場所","大專院校","","979","醫學國際會議中心","基因體醫學研究中心大樓南側門入口走道上，駐警值班室前。","25.040772","121.520655","08:30:00","17:30:00","","","","","","02-23123456*88044"
"933","新光三越百貨(股)公司台北南西分公司三館","臺北市","中山區","臺北市中山區南京西路15號4樓","大型購物場所","百貨業","","984","4F顧客服務中心","4F顧客服務中心","25.052708","121.520607","11:00:00","21:30:00","11:00:00","22:00:00","11:00:00","21:30:00","","02-25682868#6655.6657"
"17685","中國文化大學推廣教育部 大新館","臺北市","中正區","臺北市中正區延平南路127號一樓","學校、大型集會場所","大專院校","","986","大新館一樓","中國文化大學推廣教育部大新館一樓處","25.038274","121.50869","08:30:00","23:00:00","08:30:00","23:00:00","08:30:00","18:00:00","","02-23318668"
"17534","國立臺北護理健康大學","臺北市","北投區","臺北市北投區明德路365號","學校、大型集會場所","大專院校","","997","科技大樓一樓健康中心對面","置於科技大樓一樓健康中心對面","25.117539","121.520679","08:00:00","17:00:00","","","","","","02-28227101*2452"
"810","國立臺灣師範大學林口校區","新北市","林口區","新北市林口區仁愛路1段2號","學校、大型集會場所","大專院校","","1001","林口校區行政大樓一樓走廊","行政大樓一樓走廊","25.075965","121.393801","08:00:00","17:30:00","","","","","","77498295"
"17573","中國文化大學推廣教育部 大夏館","臺北市","大安區","臺北市大安區建國南路2段231號1樓","學校、大型集會場所","大專院校","","1002","六樓電梯口處","大夏館六樓電梯口處","25.026078","121.538016","08:30:00","23:00:00","08:30:00","23:00:00","08:00:00","18:00:00","","02-27005858"
"1503","苗栗縣警察局大湖分局","苗栗縣","大湖鄉","苗栗縣大湖鄉中正路78號","其他","其他場所","","1004","大湖派出所","值班台左後方","24.422847","120.866314","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","037-991041"
"129","陽明交通大學光復校區13舍便利超商","新竹市","東區","新竹市東區大學路1001號","學校、大型集會場所","大專院校","","1008","陽明交通大學光復校區 13舍便利超商","光復校區13舍","24.789062","120.998719","08:00:00","23:30:00","","","","","","03-5712121#50000"
"17298","元培醫事科技大學光恩樓1樓","新竹市","香山區","新竹市香山區新竹市元培街306號","學校、大型集會場所","大專院校","","1011","元培醫事科技大學-光恩樓1樓","元培科技大學光恩樓1樓","24.777795","120.940408","08:00:00","22:00:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-6102246"
"4","陽明交通大學  客家文化學院","新竹縣","竹北市","新竹縣竹北市新竹縣竹北市六家五路一段一號","學校、大型集會場所","大專院校","","1012","陽明交通大學   客家文化學院 1F  (新竹縣竹北市六家五","客家文化學院","24.811473","121.023368","08:00:00","17:00:00","","","","","","03-5712121 # 58613"
"17280","國立清華大學水木生活中心","新竹市","東區","新竹市東區光復路二段101號","學校、大型集會場所","大專院校","","1015","國立清華大學水木生活中心","GPS:24.7925 , 120.99394","24.796442","120.996665","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-5714769"
"17278","國立清華大學游泳池","新竹市","東區","新竹市東區光復路二段101號","學校、大型集會場所","大專院校","","1016","國立清華大學游泳池","GPS:24.79507 , 120.99128","24.796442","120.996665","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-5714769"
"4152","漢民科技竹科分公司","新竹市","東區","新竹市東區新竹市科學園區研新一路18號","其他","其他場所","","1018","4F走道","漢民科技竹科分公司通往4F餐廳走道","24.79206","120.993368","08:40:00","18:00:00","","","","","","03-5790022#6060"
"1608","工業技術研究院-77館","新竹縣","竹東鎮","新竹縣竹東鎮中興路四段195號77館","其他","其他場所","","1022","77館","77館西側門大廳右邊","24.771418767983","121.04603987362","08:00:00","17:00:00","","","","","","03-5916666"
"1609","工業技術研究院","新竹縣","竹東鎮","新竹縣竹東鎮中興路四段195號","其他","其他場所","中興路四段195號51館8樓","1023","51館8樓","51館8樓出電梯靠左","24.774099","121.047947","08:00:00","17:00:00","","","","","中興路四段195號51館8樓","03-5916666"
"1610","工業技術研究院","新竹縣","竹東鎮","新竹縣竹東鎮中興路四段195號","其他","其他場所","","1024","悠活館","悠活館大廳","24.774092","121.047933","11:45:00","21:00:00","09:00:00","20:00:00","09:00:00","20:00:00","","03-5916666"
"467","工業技術研究院","新竹縣","竹東鎮","新竹縣竹東鎮中興路四段195號","其他","其他場所","","1025","22館","大廳","24.736611","121.091578","08:00:00","17:00:00","","","","","","03-5916666"
"1611","工業技術研究院","新竹市","北區","新竹市北區光復路2段321號","其他","其他場所","","1026","27館","27館門口","24.800407","120.988306","08:00:00","17:00:00","","","","","","03-5832318"
"2857","蘭陽技術學院","宜蘭縣","頭城鎮","宜蘭縣頭城鎮復興路79號","學校、大型集會場所","大專院校","","1029","醫務室","健康中心","24.864129","121.818029","08:00:00","17:00:00","","","","","常日開放","03-9771997-720"
"14193","國立宜蘭高級商業職業學校","宜蘭縣","宜蘭市","宜蘭縣宜蘭市延平路50號","學校、大型集會場所","高中職","","1033","教學大樓","學務處","24.753379","121.768684","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","","03-9380457"
"15944","國立東華大學-游泳池","花蓮縣","壽豐鄉","花蓮縣壽豐鄉大學路2段2號","學校、大型集會場所","大專院校","","1038","游泳池","游泳池大門右側售票處內","23.893543","121.539396","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","游泳池開放才可取得 開放時間： 06:00-10:00；16:00-22:00 每周一及國定假日休館","03-8632995"
"15847","國立東華大學-前門警衛室","花蓮縣","壽豐鄉","花蓮縣壽豐鄉大學路2段2號","學校、大型集會場所","大專院校","","1039","前門警衛室","大學路警衛室內","23.890252","121.539592","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","全日開放","03-8906119"
