機構名稱,縣市區名,地址
民昇中醫診所,松山區,臺北市松山區民生東路五段87號
欣悅中醫診所,松山區,臺北市松山區南京東路4段193號1樓
泰安親親家庭診所,松山區,臺北市松山區光復北路97號
恩緹悠活時尚診所,松山區,臺北市松山區慶城街24號4樓
本質牙醫診所,松山區,臺北市松山區南京東路5段167號(實際營業地址:1、2層)
聖光眼科診所,松山區,臺北市松山區南京東路四段181、183號
樂康診所,松山區,臺北市松山區八德路三段 221之1號
原邑診所,松山區,臺北市松山區健康路325巷6弄21號
妍棠美學診所,松山區,臺北市松山區敦化北路145巷49號
康健診所,松山區,臺北市松山區延吉街9之4號(1樓)及11號2樓
麗得醫美整形外科診所,松山區,臺北市松山區南京東路5段1號5樓
伍德中醫診所,松山區,臺北市松山區健康路231號
聯欣診所,松山區,臺北市松山區南京東路4段16號5樓
名悅時尚診所,松山區,臺北市松山區南京東路3段259號9樓
依定美時尚診所,松山區,臺北市松山區八德路3段2號2樓
傑尼斯時尚醫美整形外科診所,松山區,臺北市松山區南京東路五段230號3樓之7、3樓之8
彥明中醫診所,松山區,臺北市松山區南京東路5段250巷2弄1之1號1樓、1之2號(1樓)
頤鳴堂中醫診所,松山區,臺北市松山區長春路446號(1樓)
杏莆堂中醫診所,松山區,臺北市松山區延壽街392號1樓
鳳凰中醫診所,松山區,臺北市松山區南京東路三段303巷6弄9號1樓
慶城牙醫診所,松山區,臺北市松山區長春路480號(1樓)及敦化北路120巷64號2樓
親親家庭診所,松山區,臺北市松山區南京東路五段347號
黎博彥診所,松山區,臺北市松山區民生東路五段230號
正風復健科診所,松山區,臺北市松山區光復北路133及135號1樓
大家好診所,松山區,臺北市松山區民生東路四段８０巷１１弄２號１樓
湘豐診所,松山區,臺北市松山區敦化北路１４１號５樓
松山信合美眼科診所,松山區,臺北市松山區三民路      9號、9之3號、9之4號、9之5號、9之6號、9之8號
美麗優品時尚診所,松山區,臺北市松山區民生東路四段97巷2弄1號
邱楠超診所,松山區,臺北市松山區延吉街20號1樓
祐腎內科診所,松山區,臺北市松山區南京東路四段50號8樓
趙耳鼻喉科診所,松山區,臺北市松山區八德路四段６４９號一樓
謝耳鼻喉科診所,松山區,臺北市松山區民生東路五段１４８號２樓
康明哲小兒科內科診所,松山區,臺北市松山區三民路１３６巷１５號
王俊彰耳鼻喉科診所,松山區,臺北市松山區民生東路五段１７號
林志聖眼科診所,松山區,臺北市松山區三民路１４０號
張芳杰內兒科診所,松山區,臺北市松山區民生東路五段１３８巷７號
高國隆婦產科診所,松山區,臺北市松山區八德路四段257號2樓
林忠志診所,松山區,臺北市松山區南京東路五段291巷20弄3之3號
陳炳堅內科診所,松山區,臺北市松山區延壽街３２７號
王世興醫師診所,松山區,臺北市松山區八德路四段10號
康瑞耳鼻喉科診所,松山區,臺北市松山區八德路三段154號1樓
華南小兒科診所,松山區,臺北市松山區延吉街３０巷１５號
張國華整形外科診所,松山區,臺北市松山區南京東路五段34號2樓
民生翁耳鼻喉科診所,松山區,臺北市松山區民生東路五段78號1樓
臺北市立聯合醫院附設松山門診部,松山區,臺北市松山區八德路4段694號(1樓)
宜陞中醫診所,松山區,臺北市松山區復興北路333號4樓之3、之4
長庚醫療財團法人台北長庚紀念醫院,松山區,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號
洪小兒科診所,松山區,臺北市松山區市民大道五段１６５號１樓
方一強眼科診所,松山區,臺北市松山區民生東路四段１０１號２樓
康和牙醫診所,松山區,臺北市松山區八德路3段241號1、2樓
江崇萍小兒科診所,松山區,臺北市松山區南京東路五段２５１巷２４弄２７號
安德聯合診所,松山區,臺北市松山區八德路三段３４號４樓及１２樓
美佳皮膚科診所,松山區,臺北市松山區八德路三段１６４號２樓
傅眼科診所,松山區,臺北市松山區八德路三段156號3樓
王躬仁診所,松山區,臺北市松山區新中街１２之３號１樓
李國師牙醫診所,松山區,臺北市松山區八德路三段８１號２樓－２
小林牙醫診所,松山區,臺北市松山區南京東路五段２９１巷３２號
啟瑞牙醫診所,松山區,臺北市松山區三民路１１０巷１０號１樓
宏昌牙醫診所,松山區,臺北市松山區延吉街４９號
王樣牙醫診所,松山區,臺北市松山區敦化北路４巷３５號
一泰牙醫診所,松山區,臺北市松山區民權東路五段５０號
王誌牙醫診所,松山區,臺北市松山區民權東路三段１６０巷２４號
光一診所,松山區,臺北市松山區延吉街22巷1號1樓
原點牙醫診所,松山區,臺北市松山區慶城街16巷1號
完全優整合醫學診所,松山區,臺北市松山區南京東路三段303巷6弄11號
介壽診所,松山區,臺北市松山區光復北路226號
樂福牙醫診所,松山區,臺北市松山區南京東路五段100號、102號6樓之1
哲伸牙醫診所,松山區,臺北市松山區八德路三段１０６巷５０號
正信牙醫診所,松山區,臺北市松山區民生東路五段１６５號２樓－１
三軍總醫院松山分院附設民眾診療服務處,松山區,臺北市松山區健康路１３１號
李士虹皮膚科診所,松山區,臺北市松山區民權東路3段136號3樓之1
聖唐中醫診所,松山區,臺北市松山區延壽街48號
松原復健診所,松山區,臺北市松山區光復北路206號
佳德診所,松山區,臺北市松山區健康路18號、18之1號1樓及地下1層
安德復復健專科診所,松山區,臺北市松山區光復北路181號地下二層
胡廣煜牙醫診所,松山區,臺北市松山區民生東路三段118號6樓之3
弘祐中醫診所,松山區,臺北市松山區八德路三段12巷4弄15號
陳大昕耳鼻喉科診所,松山區,臺北市松山區八德路四段１００號
尚群眼科診所,松山區,臺北市松山區南京東路五段４３號１樓
松展牙醫診所,松山區,臺北市松山區三民路8號1樓
育晟中醫診所,松山區,臺北市松山區延吉街46巷4號１樓
益茂中醫診所,松山區,臺北市松山區八德路三段12巷52弄10號
誠美牙醫診所,松山區,臺北市松山區民生東路五段１６０號１樓
見安中醫診所,松山區,臺北市松山區基隆路一段３２號１、２樓
松山內兒科診所,松山區,臺北市松山區八德路四段２５５號
藍明賢牙醫診所,松山區,臺北市松山區敦化北路２２２巷１之１號１樓
馨牙醫診所,松山區,臺北市松山區長春路506號
延壽耳鼻喉科診所,松山區,臺北市松山區延壽街113號
高登牙醫診所,松山區,臺北市松山區民權東路三段１６６號１樓
林翰牙醫診所,松山區,臺北市松山區新東街３０巷42號
峰牙醫診所,松山區,臺北市松山區民生東路四段49號、53號地下1樓
元品牙醫診所,松山區,臺北市松山區饒河街１９８號
暘昇牙醫診所,松山區,臺北市松山區南京東路三段２６０－１號２樓
台新牙醫診所,松山區,臺北市松山區民生東路五段１４６號２樓
敦品牙醫診所,松山區,臺北市松山區敦化北路２２２巷１０號
冠亞牙醫診所,松山區,臺北市松山區八德路三段207號1樓
大統牙醫診所,松山區,臺北市松山區八德路三段２２５號２樓－４
明義牙醫診所,松山區,臺北市松山區長安東路二段２１５號５樓－２
國峰牙醫診所,松山區,臺北市松山區撫遠街３７０號
新華南牙醫診所,松山區,臺北市松山區延吉街２６號
張萬屏牙醫診所,松山區,臺北市松山區南京東路五段１２３巷８弄２號之４
東方牙醫診所,松山區,臺北市松山區民生東路五段二六八號一樓
多倫多牙醫診所,松山區,臺北市松山區延吉街45號
南加州牙醫診所,松山區,臺北市松山區敦化南路一段69號2樓、67號2樓
紀泓輝牙醫診所,松山區,臺北市松山區民生東路四段８４－１號
傑美牙醫診所,松山區,臺北市松山區八德路三段172號1樓
瑞宏中醫診所,松山區,臺北市松山區八德路四段６７３巷１０號
永昌漢方中醫診所,松山區,臺北市松山區南京東路5段123巷2弄25號
仁和堂中醫診所,松山區,臺北市松山區八德路四段２０１號１樓
和豐中醫診所,松山區,臺北市松山區南京東路五段251巷24弄19號1樓
景仲牙醫診所,松山區,臺北市松山區復興北路２１５號
立達牙醫診所,松山區,臺北市松山區敦化北路２２２巷６２號
虹福牙醫診所,松山區,臺北市松山區市民大道四段５３號
長島牙醫診所,松山區,臺北市松山區民生東路五段９０號１樓
華美牙醫診所,松山區,臺北市松山區南京東路4段102號3樓
新東牙醫診所,松山區,臺北市松山區新東街11巷15--1號１樓
碧礽牙醫診所,松山區,臺北市松山區光復北路８２號７樓
臻品牙醫診所,松山區,臺北市松山區民生東路五段１２０號３樓之４
李美玲牙醫診所,松山區,臺北市松山區民生東路三段１１３巷１１號２樓
仁惠牙醫診所,松山區,臺北市松山區八德路三段74巷64號
史丹佛牙醫診所,松山區,臺北市松山區南京東路四段１０７號２樓
延齡牙醫診所,松山區,臺北市松山區延壽街１２５號
上傑牙醫診所,松山區,臺北市松山區八德路二段３８６號２樓－３
日聖眼科診所,松山區,臺北市松山區新中街３５號
德昌中醫診所,松山區,臺北市松山區延吉街38號
永承診所,松山區,臺北市松山區敦化北路155巷9號地下一層
蔡恭禮內兒科診所,松山區,臺北市松山區新東街28號之2
劉內兒科診所,松山區,臺北市松山區民生東路五段148號、148之1號
李玉閣牙醫診所,松山區,臺北市松山區南京東路五段１６３－３號３樓
宏慈牙醫診所,松山區,臺北市松山區光復南路21之4號
正斌牙醫診所,松山區,臺北市松山區南京東路四段７５巷１８號
偉德牙醫診所,松山區,臺北市松山區南京東路四段１０６號２樓
施牙醫診所,松山區,臺北市松山區三民路１４３號
光泰牙醫診所,松山區,臺北市松山區南京東路四段１７２號
得揚牙醫診所,松山區,臺北市松山區三民路１３６巷４２號
元榜牙醫診所,松山區,臺北市松山區民生東路四段８８號
周牙醫診所,松山區,臺北市松山區南京東路五段２５６號
丘牙醫診所,松山區,臺北市松山區民生東路五段２２２號
麟翔牙醫診所,松山區,臺北市松山區慶城街２４號２樓
向虹牙醫診所,松山區,臺北市松山區民族東路７６１號
正一中醫診所,松山區,臺北市松山區延吉街18號1樓
車參薇小兒科診所,松山區,臺北市松山區八德路三段195號１樓
趙彥宇邱慧嫻皮膚科聯合診所,松山區,臺北市松山區慶城街8之1號3樓及8號3樓
英爵聯合診所,松山區,臺北市松山區南京東路3段331號2樓
閎新耳鼻喉科皮膚科聯合診所,松山區,臺北市松山區八德路三段20之2號
怡碩視光眼科診所,松山區,臺北市松山區復興北路313巷28號
聯安診所,松山區,臺北市松山區南京東路4段16號地下二樓
裕昇診所,松山區,臺北市松山區民生東路5段95號
宇恩復健科診所,松山區,臺北市松山區民權東路三段140巷15號3樓
王貞乃皮膚科診所,松山區,臺北市松山區民生東路四段80巷6弄7號
杏典牙醫診所,松山區,臺北市松山區民生東路5段103號２樓
康霖牙醫診所,松山區,臺北市松山區延壽街４３０號
立人牙醫診所,松山區,臺北市松山區民權東路三段１０３巷１號
蔡嘉倫牙醫診所,松山區,臺北市松山區民生東路三段１１６號３樓
博仁綜合醫院,松山區,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2
振誠中醫診所,松山區,臺北市松山區撫遠街３６８號
茶米中醫診所,松山區,臺北市松山區南京東路五段225號3樓
崇民牙醫診所,松山區,臺北市松山區南京東路三段２５９號３樓
杏頤牙醫診所,松山區,臺北市松山區復興北路361巷2之1號(1樓)
健本牙醫診所,松山區,臺北市松山區八德路四段２１０－２號
柏林牙醫診所,松山區,臺北市松山區慶城街21之2號2樓
黃系倫牙醫診所,松山區,臺北市松山區復興北路３１３巷３０號２樓
誼欣牙醫診所,松山區,臺北市松山區延壽街338號
泛亞皮膚科整形外科診所,松山區,臺北市松山區復興北路35號4樓
尚志塾遠絡診所,松山區,臺北市松山區南京東路四段164號3樓之1
澄品牙醫診所,松山區,臺北市松山區敦化北路145巷73號
耀渼麗醫學美容診所,松山區,臺北市松山區南京東路3段259號4樓
雷湘安皮膚科診所,松山區,臺北市松山區三民路43巷1號
富樂診所,松山區,臺北市松山區敦化北路167號1樓A區
得意牙醫診所,松山區,臺北市松山區民權東路三段160巷22號2樓之2
雅客牙醫診所,松山區,臺北市松山區南京東路五段3號4樓
兆恩牙醫診所,松山區,臺北市松山區興安街218號
新中牙醫診所,松山區,臺北市松山區新中街１２之１號
德基牙醫診所,松山區,臺北市松山區八德路三段27號2樓
基督復臨安息日會醫療財團法人臺安醫院,松山區,"臺北市松山區八德路二段424,426號"
大都會牙醫診所,松山區,臺北市松山區八德路三段110號
竹君牙醫診所,松山區,臺北市松山區南京東路五段５４號２樓
正顏診所,松山區,臺北市松山區八德路二段410巷12號
景賀醫美診所,松山區,臺北市松山區光復北路125號1樓
李政洋身心診所,松山區,臺北市松山區三民路84號
明君牙醫診所,松山區,臺北市松山區八德路四段８０５號
泛美牙醫診所,松山區,臺北市松山區光復北路１４１號１樓
京華皮膚科診所,松山區,臺北市松山區八德路三段238號
美人魚時尚婦產科診所,松山區,臺北市松山區南京東路三段331號9樓
維一牙醫診所,松山區,臺北市松山區民生東路5段188號1樓
民生瀚威中醫診所,松山區,臺北市松山區新中街25號1樓
江建中診所,松山區,臺北市松山區八德路4段285號1樓
朱家庭醫學科診所,松山區,臺北市松山區八德路3段12巷57弄39之1號1樓
博美牙醫診所,松山區,臺北市松山區八德路4段106巷2弄20號1樓
繼康美學牙醫診所,松山區,臺北市松山區延壽街337號1樓
佑家診所,松山區,臺北市松山區八德路三段233號
禾玥醫學診所,松山區,臺北市松山區南京東路3段269巷6號1樓
八德牙醫診所,松山區,臺北市松山區八德路四段636號(實際營業地址:1、2層)
榮恩耳鼻喉科小兒科聯合診所,松山區,臺北市松山區南京東路五段２５８號
吳耳鼻喉科診所,松山區,臺北市松山區三民路１１３巷１－１號
吳慶南內科診所,松山區,臺北市松山區民生東路五段１３８巷１號
揚登牙醫診所,松山區,臺北市松山區南京東路五段２５０巷９－３號１樓
泰華牙醫診所,松山區,臺北市松山區光復北路38號
髮王植髮診所,松山區,臺北市松山區慶城街21之3號3樓
西松牙醫診所,松山區,臺北市松山區南京東路五段２９１巷４號
華泰中醫診所,松山區,臺北市松山區新東街66巷18號1樓
全煜耳鼻喉科診所,松山區,臺北市松山區復興北路73號2樓
康健牙醫診所,松山區,臺北市松山區延壽街１４３號
奧斯卡眼科診所,松山區,臺北市松山區敦化南路1段7號2樓及3樓之1
楠桐中醫診所,松山區,臺北市松山區八德路四段94號
理想中醫診所,松山區,臺北市松山區南京東路五段46號2樓
延吉中醫診所,松山區,臺北市松山區延吉街11號5樓之5
維哲中醫診所,松山區,臺北市松山區南京東路四段102號4樓
雅安牙醫診所,松山區,臺北市松山區民權東路三段117號
詹前俊小兒科診所,松山區,臺北市松山區民生東路五段１０５號
光與綠牙醫診所,松山區,臺北市松山區復興北路361巷8號1樓
毛冠人牙醫診所,松山區,臺北市松山區南京東路五段２３巷１８號
景泰牙醫診所,大安區,臺北市大安區安和路二段一四七及一四九號一樓
青田牙醫診所,大安區,臺北市大安區仁愛路三段26之3號3樓
康泰牙醫診所,大安區,臺北市大安區四維路１７０巷１６號
吳坤光婦產科診所,大安區,臺北市大安區信義路四段５９號
昇陽中醫診所,大安區,臺北市大安區潮州街85號、金山南路2段148號2樓之1
新潔明牙醫診所,大安區,臺北市大安區信義路三段149號2樓之1
嘉德麗雅診所,大安區,臺北市大安區信義路4段155號7樓
張涵郁診所,大安區,臺北市大安區光復南路416號1樓、412號2樓
璞之妍診所,大安區,臺北市大安區安和路1段21巷5號、敦化南路1段233巷13號
語悅牙醫診所,大安區,臺北市大安區和平東路2段265巷18號1樓
育群中醫診所,大安區,臺北市大安區忠孝東路四段216巷32弄8號2樓
名範牙醫診所,大安區,臺北市大安區安和路二段１６７號３樓
金郁婦產科診所,大安區,臺北市大安區忠孝東路四段177號7樓之4
蘇仁和耳鼻喉科診所,大安區,臺北市大安區安和路一段十一號四樓之一
啓安診所,大安區,臺北市大安區忠孝東路3段243號3樓
永誠復健科診所,大安區,臺北市大安區復興南路二段236號2樓
呂文智中醫診所,大安區,臺北市大安區和平東路一段二五八號二樓
日禾牙醫診所,大安區,臺北市大安區忠孝東路3段217巷3弄4號
鑫辰牙醫診所,大安區,臺北市大安區信義路二段１９８巷８－１號
國立台灣大學保健中心,大安區,臺北市大安區羅斯福路四段１號
臻心美妍診所,大安區,臺北市大安區信義路4段71號5樓
教主診所,大安區,臺北市大安區和平東路1段6號6樓、6樓之1
好牙屋牙醫診所,大安區,臺北市大安區光復南路622號
群和牙醫診所,大安區,臺北市大安區光復南路三四八之二號
嘉士美牙醫診所,大安區,臺北市大安區復興南路2段148巷35號
中山醫療社團法人中山醫院,大安區,臺北市大安區仁愛路四段112巷11號
宏恩醫療財團法人宏恩綜合醫院,大安區,臺北市大安區仁愛路四段71巷1號、仁 愛路四段61號、仁愛路四段91巷16號
游鴻儒皮膚科診所,大安區,臺北市大安區仁愛路四段一五一巷三六號二樓
黃明仁牙醫診所,大安區,臺北市大安區延吉街２４２號
慧安牙醫診所,大安區,臺北市大安區忠孝東路四段75之7號(8樓)
璽悅中醫診所,大安區,臺北市大安區敦化南路1段184號5樓
忠孝美麗爾診所,大安區,臺北市大安區敦化南路1段216號6樓
禾馨新生婦幼診所,大安區,臺北市大安區新生南路三段2號、2號2樓、2號3樓
首爾醫美診所,大安區,臺北市大安區信義路4段382號5樓
東區時尚美學診所,大安區,臺北市大安區忠孝東路4段134號9樓
大安悅兒親子中醫診所,大安區,臺北市大安區光復南路432號
環球診所,大安區,臺北市大安區信義路二段184號4樓
國立臺灣大學醫學院附設醫院癌醫中心分院,大安區,臺北市大安區基隆路 3段155巷57號
里昂哈佛仁愛牙醫診所,大安區,臺北市大安區仁愛路4段416號2樓、418號2樓
尚行美耳鼻喉專科診所,大安區,臺北市大安區光復南路288號3樓之1、4樓之3
徐國峰中醫診所,大安區,臺北市大安區建國南路1段160號10樓之1
丰緹絲醫美診所,大安區,臺北市大安區大安路一段80號2樓
多娜台北植髮診所,大安區,臺北市大安區信義路三段158號3樓
看見佳醫診所,大安區,臺北市大安區忠孝東路3段305號5樓之3
大地牙醫診所,大安區,臺北市大安區大安路二段一二 0 號一樓
玩美爵品牙醫診所,大安區,臺北市大安區忠孝東路4段218號2樓、218之1號2樓
光彩時尚診所,大安區,臺北市大安區忠孝東路四段191號6樓
時尚假期醫美診所,大安區,臺北市大安區復興南路1段222號5樓
真愛貝齒牙醫診所,大安區,臺北市大安區忠孝東路4段67之4號 (實際營業地址：5樓)
沐美診所,大安區,臺北市大安區仁愛路4段25之1號5樓
大安丰采睡眠醫學診所,大安區,臺北市大安區新生南路2段18號1樓、地下1層
維格診所,大安區,臺北市大安區仁愛路4段401號1樓、403號1樓、403號2樓、403號地下1層
欣民牙醫診所,大安區,臺北市大安區安和路一段１３５巷１８號
霍天年整形外科診所,大安區,臺北市大安區忠孝東路四段一九一號六樓之一
詹骨科診所,大安區,臺北市大安區信義路四段５３巷６號
中心診所醫療財團法人中心綜合醫院,大安區,臺北市大安區忠孝東路四段７７號
巧玉牙醫診所,大安區,臺北市大安區信義路4段263號4樓之1
正誠牙醫診所,大安區,臺北市大安區仁愛路4段79號9樓、9樓之2
明圓中醫診所,大安區,臺北市大安區和平東路三段320號
敦平診所,大安區,臺北市大安區敦化南路2段333、335號3樓
佳立得耳鼻喉科診所,大安區,臺北市大安區新生南路1段165巷1號1樓
延吉診所,大安區,臺北市大安區延吉街二四一巷二弄五號一樓
杏保醫網信誠診所,大安區,臺北市大安區信義路4段197號1樓、199巷2號1樓、199巷2號2樓、199巷2號2樓之1
張若偉中醫診所,大安區,臺北市大安區忠孝東路三段305號10樓之3
博安家庭醫學科診所,大安區,臺北市大安區麗水街3號
巨星整形外科診所,大安區,臺北市大安區忠孝東路四段107號5樓之2
金品牙醫診所,大安區,臺北市大安區金山南路2段142之1號
麗晶牙醫診所,大安區,臺北市大安區和平東路二段１７５巷２７號
瑞御診所,大安區,臺北市大安區敦化南路一段259號12樓
璽恩牙醫診所,大安區,臺北市大安區金山南路2段192巷8號1樓及夾層、2樓、3樓
三普牙醫診所,大安區,臺北市大安區安和路2段69巷8號
恩典中醫診所,大安區,臺北市大安區忠孝東路4段51之6號(7樓)
柏登牙醫診所,大安區,臺北市大安區建國南路一段152號
黃崇禮皮膚科診所,大安區,臺北市大安區信義路三段192-1號3樓
黃禎憲皮膚科診所,大安區,臺北市大安區師大路７1號2樓及７7號
誠樂牙醫診所,大安區,臺北市大安區新生南路3段98號5樓
優爾視眼科診所,大安區,臺北市大安區敦化南路一段283號2樓、2樓之1
生髮診所,大安區,臺北市大安區敦化南路1段190巷12號、忠孝東路4段101巷16號2樓之3
